temperature,results
0.5,0.666667
0.52,0.666667
0.54,0.665848
0.56,0.666667
0.58,0.666667
0.6,0.48932299999999995
0.62,0.489149
0.64,0.502217
0.66,0.666667
0.68,0.666667
0.7,0.666667
0.72,0.666667
0.74,0.666667
0.76,0.666667
0.78,0.666667
0.8,0.664875
0.82,0.666667
0.84,0.6664680000000001
0.86,0.666473
0.88,0.6662779999999999
0.9,0.666561
0.92,0.664747
0.94,0.666592
0.96,0.664496
0.98,0.666667
1.0,0.666666
1.02,0.666666
1.04,0.6652710000000001
1.06,0.66552
1.08,0.666362
1.1,0.666666
1.12,0.643245
1.14,0.647138
1.16,0.656542
1.18,0.681658
1.2,0.656633
1.22,0.656975
1.24,0.666664
1.26,0.663574
1.28,0.666664
1.3,0.666315
1.32,0.666663
1.34,0.665559
1.36,0.666662
1.38,0.666662
1.4,0.666661
1.42,0.66666
1.44,0.666659
1.46,0.666658
1.48,0.666658
1.5,0.666656
1.52,0.666655
1.54,0.666652
1.56,0.666651
1.58,0.6666489999999999
1.6,0.666647
1.62,0.6666449999999999
1.64,0.6666449999999999
1.66,0.666641
1.68,0.666639
1.7,0.666636
1.72,0.666632
1.74,0.666629
1.76,0.666626
1.78,0.666621
1.8,0.666616
1.82,0.666613
1.84,0.66661
1.86,0.666603
1.88,0.6665949999999999
1.9,0.66659
1.92,0.666583
1.94,0.6665770000000001
1.96,0.666571
1.98,0.666564
2.0,0.666556
2.02,0.666547
2.04,0.6665369999999999
2.06,0.6665260000000001
2.08,0.666515
2.1,0.6665
2.12,0.666481
2.14,0.666469
2.16,0.66645
2.18,0.666437
2.2,0.6664220000000001
2.22,0.666405
2.24,0.666377
2.26,0.666359
2.28,0.666337
2.3,0.666311
2.32,0.6662779999999999
2.34,0.66625
2.36,0.666225
2.38,0.666191
2.4,0.666158
2.42,0.666125
2.44,0.666088
2.46,0.66605
2.48,0.6660020000000001
2.5,0.665992
2.52,0.665944
2.54,0.6658729999999999
2.56,0.6658229999999999
2.58,0.665752
2.6,0.66568
2.62,0.665616
2.64,0.6655399999999999
2.66,0.665432
2.68,0.665362
2.7,0.665223
2.72,0.665108
2.74,0.664983
2.76,0.6648
2.78,0.664628
2.8,0.6644909999999999
2.82,0.664295
2.84,0.664087
2.86,0.663922
2.88,0.663623
2.9,0.663402
2.92,0.663129
2.94,0.66278
2.96,0.662453
2.98,0.662144
3.0,0.661818
3.02,0.6614270000000001
3.04,0.660799
3.06,0.659953
3.08,0.660121
3.1,0.657849
3.12,0.657971
3.14,0.656892
3.16,0.655679
3.18,0.652305
3.2,0.653084
3.22,0.651968
3.24,0.647931
3.26,0.6497689999999999
3.28,0.642123
3.3,0.6441359999999999
3.32,0.637897
3.34,0.636312
3.36,0.631314
3.38,0.631409
3.4,0.623178
3.42,0.616099
3.44,0.615874
3.46,0.6122770000000001
3.48,0.606748
3.5,0.5996
