avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.90675,0.824387,0.686573,37.5,0,1.84071,-7.19563e-15
0.9195,0.84708,0.722794,65.64,0,2.27805,-2.18187e-14
0.9125,0.834965,0.704373,50.93,0,1.82078,4.29101e-16
0.91375,0.836993,0.707122,48.03,0,1.5782,-5.34572e-16
0.90625,0.823883,0.686963,46.9,0,0.682017,-1.1674e-15
0.918,0.844805,0.720451,61.39,0,0.75961,2.63678e-16
0.92,0.84816,0.725134,43.67,0,1.58499,5.07927e-16
0.91375,0.837237,0.708413,55.96,0,0.735906,-4.16889e-16
0.90975,0.828887,0.691071,53.73,0,1.64607,1.33837e-15
0.90925,0.828757,0.693101,48.8,0,1.08303,-6.18894e-15
0.891,0.79697,0.643928,38.32,0,1.57264,-1.81022e-15
0.9115,0.833465,0.702712,62.58,0,0.683936,3.43614e-16
0.91,0.82978,0.693993,55.86,0,0.601102,1.20515e-15
0.914,0.83697,0.705785,51.19,0,1.47673,1.84852e-16
0.865,0.754045,0.584419,31.46,0,2.43712,-3.34677e-15
0.911,0.8319,0.698396,57.94,0,2.50163,-1.01458e-14
0.90025,0.812833,0.668101,49.4,0,1.9032,4.60187e-16
0.8995,0.81126,0.664958,42.5,0,1.26953,-5.04596e-16
0.9055,0.82313,0.687225,54.92,0,1.04923,-1.36002e-16
0.9105,0.830785,0.695851,49.88,0,0.711789,-3.28071e-16
0.897,0.806935,0.658615,57.97,0,0.730879,-6.53089e-16
0.91875,0.845582,0.719936,63.54,0,0.483339,1.4716e-15
0.89175,0.798747,0.648324,48.14,0,1.44652,-2.11331e-15
0.933,0.87128,0.761828,75.09,0,0.657212,1.66367e-15
0.907,0.824875,0.687404,42.68,0,0.944532,-1.21569e-16
0.91725,0.842657,0.714219,62.26,0,1.05616,2.00007e-15
0.9235,0.854685,0.736515,63.51,0,0.980531,1.26732e-15
0.90975,0.829263,0.692908,69.02,0,1.42323,-9.28868e-15
0.92025,0.848158,0.723747,59.11,0,0.841564,1.95899e-15
0.91175,0.833503,0.701894,48.79,0,1.55409,1.38722e-15
0.89975,0.811988,0.667094,51.71,0,1.3582,-1.113e-15
0.89625,0.805062,0.65375,61.15,0,0.779954,3.70981e-15
0.909,0.828745,0.69439,52.27,0,1.26189,2.05946e-16
0.918,0.84384,0.715794,62.3,0,2.45927,-1.03589e-14
0.91275,0.835092,0.70363,53.77,0,0.653516,7.94365e-16
0.909,0.82863,0.693905,50.97,0,2.198,-9.34641e-15
0.91475,0.838917,0.710533,51,0,0.876564,7.38853e-16
0.906875,0.824824,0.687917,27.77,0,2.35761,-6.72157e-15
0.918,0.844055,0.716762,46.16,0,0.89564,1.30757e-15
0.90475,0.819807,0.675976,45,0,0.736648,7.27196e-17
0.903,0.81944,0.682548,52.5,0,2.4899,-2.19802e-14
0.92325,0.853908,0.734181,57.24,0,1.21264,5.01821e-16
0.9125,0.834645,0.703126,49.08,0,2.47215,-4.03955e-15
0.91675,0.842602,0.716806,56.97,0,1.5624,-3.7953e-15
0.92025,0.848198,0.723903,58.33,0,0.794658,-9.05664e-16
0.91425,0.837727,0.707857,55.98,0,2.64202,5.55112e-16
0.896,0.80624,0.660413,43.26,0,1.11978,-3.73729e-15
0.9215,0.850255,0.726649,62.36,0,0.874151,3.44891e-15
0.9275,0.86124,0.7451,61.46,0,1.4033,-3.75255e-15
0.90375,0.818257,0.674416,51.74,0,0.945919,1.27731e-15
0.923,0.8534,0.733118,58.06,0,0.785473,1.41331e-15
0.9245,0.85593,0.736772,63.4,0,1.79992,2.89713e-15
0.91525,0.839472,0.71025,57.3,0,2.47427,-1.37618e-14
0.927,0.8607,0.745296,64.76,0,3.04168,1.55581e-14
0.911,0.831925,0.698523,54.18,0,1.53275,-5.92248e-15
0.90975,0.829482,0.694017,66.7,0,1.12282,-8.63448e-15
0.9055,0.82203,0.68239,48.89,0,0.916875,1.37834e-15
0.90725,0.825228,0.68795,51.83,0,0.867305,-8.6875e-16
0.91875,0.845933,0.721638,61.21,0,1.5679,-9.74498e-15
0.91875,0.845688,0.720389,15.48,0,0.827513,4.16334e-18
0.91375,0.837347,0.708793,57.05,0,0.802782,1.20515e-15
0.872,0.776425,0.637455,28.62,0,4.02301,9.01281e-16
0.91575,0.840027,0.710342,65.62,0,0.712428,2.26652e-15
0.9045,0.820645,0.681429,47.9,0,0.830765,-3.89133e-16
0.91275,0.835662,0.706508,47.17,0,2.60199,-7.31248e-15
0.922,0.85173,0.730892,55.96,0,1.23556,1.60483e-15
0.916,0.84089,0.71265,61.36,0,0.951101,-7.92422e-15
0.90725,0.825157,0.687327,60.19,0,1.51809,1.96454e-15
0.9085,0.82689,0.688552,44.28,0,1.46436,-3.13444e-15
0.91825,0.844722,0.718779,59.21,0,0.658889,2.66953e-15
0.91025,0.830462,0.695697,49.99,0,1.17041,-1.20515e-15
0.90625,0.824323,0.68866,40.71,0,1.90956,1.79134e-15
0.90775,0.825638,0.686914,59.1,0,0.731271,-2.20352e-15
0.908,0.826205,0.688164,54.81,0,2.08258,5.84865e-15
0.89925,0.811172,0.665977,54.83,0,0.728088,1.19404e-15
0.91,0.830515,0.697575,58.14,0,2.02173,-8.77798e-15
0.91075,0.830737,0.694366,53.87,0,2.52113,-1.6373e-14
0.921,0.849705,0.726789,69,0,1.35864,-1.22458e-15
0.91225,0.833827,0.700545,61.22,0,0.638338,1.62148e-15
0.918,0.844625,0.71964,64.44,0,1.75362,-3.37674e-15
0.8995,0.81132,0.665174,47.03,0,1.56108,-1.96509e-16
0.90475,0.819928,0.676572,50.74,0,0.554028,-1.54043e-15
0.9195,0.847705,0.725895,38.49,0,1.03536,9.49241e-17
0.90425,0.820153,0.680601,57.07,0,1.46762,-6.85063e-15
0.922,0.85117,0.728091,55.89,0,1.8083,-1.00389e-14
0.916,0.840735,0.712441,59,0,0.72379,1.05471e-17
0.911,0.831755,0.697666,45.27,0,1.66589,9.45632e-16
0.91825,0.845167,0.720766,63.57,0,1.28786,-1.24623e-15
0.9125,0.833655,0.698295,52.77,0,1.03869,-5.4251e-15
0.91975,0.847743,0.724612,58.09,0,0.650699,3.03035e-15
0.925,0.857175,0.739913,66.79,0,0.664164,4.21885e-17
0.91325,0.835702,0.70392,53.97,0,2.02812,-8.24923e-15
0.907,0.82521,0.689031,58.13,0,0.719678,6.82787e-17
0.89125,0.796893,0.642986,39.04,0,1.76662,-6.10317e-15
0.91075,0.830912,0.695104,58.08,0,0.858696,1.39333e-16
0.898,0.809095,0.662833,50.84,0,1.20919,2.97151e-15
0.9145,0.838505,0.710143,53.14,0,0.990605,-3.68761e-15
0.912125,0.833938,0.701688,12.46,0,2.43061,2.64511e-16
0.91125,0.832747,0.701115,47.88,0,0.689892,-3.14748e-16
0.91875,0.845952,0.721606,49.06,0,0.888701,4.724e-16
