avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.9845,0.969295,0.939745,182.45,0,0.0745106,-2.26541e-15
0.97925,0.959067,0.920335,174.91,0,0.0713309,-3.08253e-15
0.98025,0.960972,0.923785,174.91,0,0.0993294,-1.4172e-15
0.97325,0.947368,0.898079,176.79,0,0.191583,-1.28841e-15
0.977,0.95462,0.911646,174.91,0,0.237025,1.46938e-15
0.96675,0.934713,0.874087,173.04,0,0.0771592,8.38218e-17
0.96775,0.936627,0.877596,176.79,0,0.0623368,-3.07809e-15
0.963,0.92748,0.86063,173.05,0,0.113633,-1.97675e-15
0.9765,0.953665,0.909902,163.92,0,0.154626,1.39833e-15
0.97375,0.948287,0.899619,176.77,0,0.107903,-2.11886e-15
0.97075,0.942527,0.888996,174.9,0,0.103686,-1.27065e-15
0.9835,0.96736,0.936124,176.79,0,0.144127,-4.17999e-16
0.97275,0.946383,0.896168,176.78,0,0.0743091,-1.64868e-16
0.968,0.937105,0.878471,182.45,0,0.0535796,3.81362e-16
0.9785,0.95768,0.91798,173.05,0,0.178733,-5.42344e-16
0.9665,0.93424,0.873243,178.65,0,0.0979032,8.38218e-17
0.97625,0.953262,0.909463,173.09,0,0.149463,-2.35423e-15
0.97625,0.953172,0.908949,180.54,0,0.0493622,-1.66145e-15
0.9825,0.965385,0.932273,180.55,0,0.121079,-3.93519e-15
0.97375,0.948282,0.899591,176.78,0,0.0629418,-1.59039e-15
0.98275,0.965907,0.933399,178.69,0,0.109804,-2.58515e-15
0.97625,0.953182,0.909009,182.45,0,0.05,1.60705e-15
0.972562,0.945974,0.895231,163.9,0,0.181388,-6.88893e-16
0.9805,0.96149,0.924879,178.67,0,0.216568,-2.65621e-15
0.96475,0.930837,0.866811,180.54,0,0.054069,1.54043e-15
0.964,0.929385,0.864087,173.06,0,0.130854,-5.3163e-15
0.976875,0.954389,0.911254,169.37,0,0.20394,-1.3417e-15
0.97875,0.958097,0.918506,180.56,0,0.158191,1.6781e-15
0.9735,0.947805,0.898721,178.66,0,0.124712,-2.72005e-17
0.97875,0.958047,0.918221,176.79,0,0.0910851,-1.28841e-15
0.9825,0.96542,0.932473,186.31,0,0.176722,-2.54963e-15
0.97475,0.950202,0.903132,182.45,0,0.0490066,-1.395e-15
0.962,0.92557,0.857146,178.65,0,0.0732771,3.68039e-16
0.9825,0.96541,0.932417,178.67,0,0.110198,-1.80356e-15
0.96175,0.925083,0.856217,169.37,0,0.081272,-3.60267e-16
0.9695,0.9401,0.88442,178.66,0,0.069155,-1.79912e-15
0.96275,0.927007,0.859785,174.91,0,0.122989,2.71283e-15
0.98175,0.963963,0.929718,174.92,0,0.10217,-2.83384e-15
0.96875,0.938598,0.881418,171.21,0,0.212855,-7.33302e-16
0.96225,0.926132,0.858491,176.78,0,0.124074,-2.68729e-15
0.97675,0.954162,0.910888,178.68,0,0.141186,1.74916e-15
0.9775,0.95562,0.913641,176.79,0,0.102351,-1.41276e-15
0.969,0.939065,0.882234,174.91,0,0.0669098,1.00753e-15
0.97875,0.958134,0.91871,167.54,0,0.1486,-8.26561e-16
0.97275,0.946337,0.895915,182.46,0,0.117164,-2.40752e-15
0.0335,0.0229125,0.000695409,0.98,0,2.88668,1.37113e-16
0.972,0.94488,0.89316,176.77,0,0.0864793,-2.50966e-15
0.97625,0.953162,0.908895,178.67,0,0.0695106,-1.16407e-15
0.98175,0.963907,0.929404,178.66,0,0.0959992,-2.65621e-15
0.9845,0.96932,0.93989,184.36,0,0.0579418,1.26954e-15
0.9745,0.949735,0.902318,182.44,0,0.0928408,1.14964e-15
0.968937,0.938966,0.882126,158.54,0,0.142265,-5.77871e-16
0.96375,0.928907,0.863216,176.79,0,0.116118,2.96985e-16
0.97125,0.943437,0.890491,176.84,0,0.257312,-3.40228e-15
0.9845,0.969345,0.940031,178.67,0,0.291185,-3.36675e-15
0.97675,0.95415,0.910819,163.9,0,0.109795,-3.70426e-15
0.975,0.950745,0.904373,180.55,0,0.0934786,-1.80356e-15
0.9665,0.934315,0.873661,156.78,0,0.196233,-2.11886e-15
0.98125,0.962967,0.927752,178.66,0,0.0764204,-1.33782e-16
0.96575,0.932762,0.870379,174.9,0,0.115086,6.30052e-16
0.976437,0.953602,0.910006,149.82,0,0.504326,-4.20164e-15
0.96575,0.932822,0.870711,173.06,0,0.1575,1.61149e-15
0.97925,0.959037,0.920161,176.78,0,0.154472,3.17024e-15
0.9775,0.955625,0.913672,176.78,0,0.0842669,-1.41276e-15
0.97725,0.955082,0.91243,178.67,0,0.154611,2.57017e-16
0.96925,0.939492,0.882823,176.77,0,0.0815542,-1.79912e-15
0.96275,0.927007,0.859785,173.04,0,0.0723462,-1.97675e-15
0.974375,0.949609,0.902521,151.51,0,0.136106,-9.4369e-18
0.97325,0.947332,0.897879,174.91,0,0.132111,-3.13582e-15
0.97225,0.945422,0.894397,173.04,0,0.114967,-1.15963e-15
0.963,0.92746,0.860518,171.2,0,0.0927877,-1.37279e-15
0.96375,0.928937,0.863383,178.66,0,0.0585172,-7.68829e-16
0.9745,0.9498,0.902688,173.06,0,0.106085,-4.37927e-15
0.96725,0.935647,0.875716,173.03,0,0.0876393,-3.68205e-15
0.978,0.95659,0.915472,178.68,0,0.137218,-2.40752e-15
0.9715,0.943895,0.89125,182.44,0,0.0369098,-1.30618e-15
0.96625,0.933732,0.872204,169.36,0,0.161785,5.10147e-16
0.963,0.927555,0.861054,169.39,0,0.107366,-9.6867e-16
0.97425,0.949302,0.9017,174.91,0,0.255595,-4.00624e-15
0.984,0.968355,0.938093,176.79,0,0.101542,-2.03448e-15
0.96675,0.934747,0.874281,171.2,0,0.115293,-6.26721e-16
0.98175,0.963973,0.929775,176.79,0,0.15392,4.70179e-16
0.9725,0.94589,0.895214,176.81,0,0.050715,-1.75027e-15
0.9625,0.92654,0.858975,173.04,0,0.0878887,-1.1241e-15
0.69175,0.535082,0.403109,81.74,0,5.00073,1.54271e-14
0.9715,0.943925,0.89142,176.79,0,0.133585,-2.68729e-15
0.97725,0.955117,0.912631,178.66,0,0.0573993,-8.44325e-16
0.9725,0.94585,0.894987,174.91,0,0.151096,-1.44829e-15
0.98225,0.964967,0.931744,180.56,0,0.231381,-6.27276e-17
0.977437,0.955508,0.913468,169.36,0,0.157956,-9.02056e-16
0.98225,0.964948,0.931628,182.48,0,0.135308,-2.7589e-16
0.976875,0.954379,0.911196,174.91,0,0.232274,4.80893e-15
0.98,0.96055,0.923231,176.8,0,0.207807,8.96505e-16
0.967375,0.935991,0.876733,160.33,0,0.124694,2.42861e-15
0.97275,0.946352,0.895997,174.91,0,0.163345,-3.82416e-15
0.98275,0.965942,0.933601,176.78,0,0.144223,-1.33782e-16
0.977,0.954615,0.911617,173.07,0,0.16276,-2.08777e-15
0.9795,0.959505,0.920975,174.92,0,0.0852072,8.96505e-16
0.964,0.929442,0.864409,163.9,0,0.220685,-8.75411e-16
0.97225,0.945377,0.894142,178.66,0,0.0595106,5.41234e-16
