temperature,results
1.0,5.82051
1.01,8.2476
1.02,7.479480000000001
1.03,7.9011
1.04,7.48303
1.05,7.4500399999999996
1.06,6.61487
1.07,7.0465800000000005
1.08,6.47633
1.09,5.77145
1.1,5.98019
1.11,6.131880000000001
1.12,5.57717
1.13,5.346430000000001
1.14,5.194369999999999
1.15,4.95749
1.16,4.9109300000000005
1.17,4.18201
1.18,4.31658
1.19,4.2277
1.2,4.21459
1.21,2.2577700000000003
1.22,2.36079
1.23,3.65191
1.24,3.4579699999999995
1.25,3.49517
1.26,3.27691
1.27,3.22834
1.28,3.1524400000000004
1.29,3.16133
1.3,3.14058
1.31,2.73432
1.32,2.74555
1.33,2.57246
1.34,2.5138700000000003
1.35,2.43912
1.36,2.57602
1.37,2.26726
1.38,2.16528
1.39,2.1362099999999997
1.4,2.30009
1.41,2.2000599999999997
1.42,2.12526
1.43,2.0647599999999997
1.44,1.9337400000000002
1.45,1.94523
1.46,1.90265
1.47,1.8219599999999998
1.48,1.81588
1.49,1.6743700000000001
1.5,1.6396
1.51,1.58789
1.52,1.51966
1.53,1.48042
1.54,1.42231
1.55,1.39903
1.56,1.36802
1.57,1.30879
1.58,1.2743200000000001
1.59,1.24549
1.6,1.19993
1.61,1.1622299999999999
1.62,1.12363
1.63,1.09807
1.64,1.03728
1.65,1.01306
1.66,0.986865
1.67,0.984718
1.68,0.948111
1.69,0.902278
1.7,0.873555
1.71,0.833521
1.72,0.817375
1.73,0.791983
1.74,0.7577659999999999
1.75,0.7274729999999999
1.76,0.707209
1.77,0.67833
1.78,0.663446
1.79,0.6421
1.8,0.615133
1.81,0.5860770000000001
1.82,0.564117
1.83,0.544679
1.84,0.520162
1.85,0.49737200000000004
1.86,0.46865100000000004
1.87,0.45203699999999997
1.88,0.433266
1.89,0.41566400000000003
1.9,0.405656
1.91,0.38601199999999997
1.92,0.372397
1.93,0.356109
1.94,0.340857
1.95,0.325735
1.96,0.311341
1.97,0.29481999999999997
1.98,0.276053
1.99,0.261411
2.0,0.249423
2.01,0.23700500000000002
2.02,0.22139699999999998
2.03,0.19705899999999998
2.04,0.18498199999999998
2.05,0.170673
2.06,0.157653
2.07,0.146748
2.08,0.13656600000000002
2.09,0.12678499999999998
2.1,0.11411099999999999
2.11,0.10594400000000001
2.12,0.09370830000000001
2.13,0.0815225
2.14,0.0742779
2.15,0.0692362
2.16,0.0614909
2.17,0.0522385
2.18,0.0448526
2.19,0.0404419
2.2,0.033843599999999995
2.21,0.029587400000000003
2.22,0.0273513
2.23,0.0195265
2.24,0.0194125
2.25,0.012666799999999999
2.26,0.011538600000000001
2.27,0.00862443
2.28,0.00613892
2.29,0.00516093
2.3,0.00477225
2.31,0.00209367
2.32,0.0028064
2.33,0.0015387
2.34,0.000936003
2.35,0.0007668460000000001
2.36,0.00119796
2.37,0.000964902
2.38,0.000641327
2.39,0.000501716
2.4,0.000376729
2.41,0.00033149300000000003
2.42,0.00037674800000000005
2.43,0.000444487
2.44,0.000306911
2.45,0.000177225
2.46,0.000331535
2.47,0.00021706099999999997
2.48,0.00021706700000000001
2.49,0.000218552
2.5,0.000125317
2.51,0.00017722900000000002
2.52,0.000177238
2.53,0.0
2.54,0.0
2.55,0.000125329
2.56,0.000125329
2.57,0.000125323
2.58,0.0
2.59,0.0
2.6,0.000125329
2.61,0.0
2.62,0.000177238
2.63,0.0
2.64,0.0
2.65,0.000125329
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.000125329
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0
3.02,0.0
3.03,0.0
3.04,0.0
3.05,0.0
3.06,0.0
3.07,0.0
3.08,0.0
3.09,0.0
3.1,0.0
3.11,0.0
3.12,0.0
3.13,0.0
3.14,0.0
3.15,0.0
3.16,0.0
3.17,0.0
3.18,0.0
3.19,0.0
3.2,0.0
3.21,0.0
3.22,0.0
3.23,0.0
3.24,0.0
3.25,0.0
3.26,0.0
3.27,0.0
3.28,0.0
3.29,0.0
3.3,0.0
3.31,0.0
3.32,0.0
3.33,0.0
3.34,0.0
3.35,0.0
3.36,0.0
3.37,0.0
3.38,0.0
3.39,0.0
