temperature,results
1.0,0.999257
1.01,0.999188
1.02,0.9991049999999999
1.03,0.999108
1.04,0.999031
1.05,0.998933
1.06,0.998833
1.07,0.998783
1.08,0.9986729999999999
1.09,0.998568
1.1,0.9985569999999999
1.11,0.998423
1.12,0.998215
1.13,0.998033
1.14,0.997909
1.15,0.997775
1.16,0.997653
1.17,0.997411
1.18,0.9972770000000001
1.19,0.997124
1.2,0.9969549999999999
1.21,0.9939180000000001
1.22,0.996474
1.23,0.9964370000000001
1.24,0.9960680000000001
1.25,0.995983
1.26,0.9957530000000001
1.27,0.995605
1.28,0.99516
1.29,0.9950200000000001
1.3,0.9948469999999999
1.31,0.9943860000000001
1.32,0.9941
1.33,0.993819
1.34,0.9935209999999999
1.35,0.9932049999999999
1.36,0.9928799999999999
1.37,0.9925309999999999
1.38,0.992136
1.39,0.991783
1.4,0.991469
1.41,0.99103
1.42,0.990583
1.43,0.990144
1.44,0.989756
1.45,0.9892610000000001
1.46,0.988784
1.47,0.988224
1.48,0.9876809999999999
1.49,0.98688
1.5,0.986355
1.51,0.9858120000000001
1.52,0.985231
1.53,0.9846389999999999
1.54,0.9839389999999999
1.55,0.983246
1.56,0.982575
1.57,0.981816
1.58,0.9811540000000001
1.59,0.98045
1.6,0.979613
1.61,0.978721
1.62,0.9778190000000001
1.63,0.976916
1.64,0.9759540000000001
1.65,0.9750489999999999
1.66,0.9742120000000001
1.67,0.973549
1.68,0.972534
1.69,0.971385
1.7,0.9703370000000001
1.71,0.969096
1.72,0.9679209999999999
1.73,0.9667049999999999
1.74,0.965404
1.75,0.96409
1.76,0.963126
1.77,0.961669
1.78,0.960317
1.79,0.95895
1.8,0.957359
1.81,0.9557530000000001
1.82,0.954099
1.83,0.9524040000000001
1.84,0.950715
1.85,0.948125
1.86,0.9460790000000001
1.87,0.944264
1.88,0.9420350000000001
1.89,0.93981
1.9,0.9380729999999999
1.91,0.9356059999999999
1.92,0.932983
1.93,0.9307340000000001
1.94,0.92881
1.95,0.9261450000000001
1.96,0.9235620000000001
1.97,0.921027
1.98,0.9179889999999999
1.99,0.915069
2.0,0.912241
2.01,0.9091290000000001
2.02,0.905803
2.03,0.900307
2.04,0.896235
2.05,0.8905129999999999
2.06,0.8875850000000001
2.07,0.8836799999999999
2.08,0.878742
2.09,0.867441
2.1,0.868315
2.11,0.863151
2.12,0.8561690000000001
2.13,0.845993
2.14,0.838783
2.15,0.811603
2.16,0.820277
2.17,0.8190069999999999
2.18,0.786391
2.19,0.7872279999999999
2.2,0.779625
2.21,0.75974
2.22,0.721812
2.23,0.708637
2.24,0.703498
2.25,0.668193
2.26,0.650437
2.27,0.601532
2.28,0.567713
2.29,0.567635
2.3,0.523555
2.31,0.471605
2.32,0.43084799999999995
2.33,0.42090900000000003
2.34,0.41723999999999994
2.35,0.39197
2.36,0.390841
2.37,0.333343
2.38,0.302189
2.39,0.283889
2.4,0.269507
2.41,0.236693
2.42,0.229621
2.43,0.238893
2.44,0.20702600000000002
2.45,0.190227
2.46,0.16303299999999998
2.47,0.16201500000000002
2.48,0.14596099999999998
2.49,0.127726
2.5,0.130227
2.51,0.120708
2.52,0.108476
2.53,0.097205
2.54,0.10800000000000001
2.55,0.10093099999999999
2.56,0.102673
2.57,0.0870906
2.58,0.08238250000000001
2.59,0.0732281
2.6,0.0719334
2.61,0.059426599999999996
2.62,0.0633947
2.63,0.06592410000000001
2.64,0.0521466
2.65,0.0570466
2.66,0.049115
2.67,0.048781599999999994
2.68,0.048686900000000005
2.69,0.0386906
2.7,0.045455300000000004
2.71,0.0478494
2.72,0.03698030000000001
2.73,0.0411681
2.74,0.036006300000000005
2.75,0.0339806
2.76,0.030127800000000003
2.77,0.030340600000000002
2.78,0.0320997
2.79,0.0305503
2.8,0.0302884
2.81,0.0281531
2.82,0.0342969
2.83,0.026962200000000002
2.84,0.0262828
2.85,0.0236022
2.86,0.0241459
2.87,0.0261397
2.88,0.0260712
2.89,0.0246363
2.9,0.0247481
2.91,0.0189494
2.92,0.0199988
2.93,0.0218028
2.94,0.0230578
2.95,0.0211578
2.96,0.0212284
2.97,0.0217169
2.98,0.0233194
2.99,0.01958
3.0,0.0186291
3.01,0.020028400000000002
3.02,0.0174162
3.03,0.018934700000000002
3.04,0.018455000000000003
3.05,0.016790299999999998
3.06,0.015557499999999998
3.07,0.016194999999999998
3.08,0.0177231
3.09,0.017184400000000002
3.1,0.0171078
3.11,0.0155719
3.12,0.019740900000000002
3.13,0.0156331
3.14,0.019218700000000002
3.15,0.0155841
3.16,0.0173541
3.17,0.0131528
3.18,0.0182447
3.19,0.0170197
3.2,0.0141838
3.21,0.013803799999999998
3.22,0.012835
3.23,0.0157231
3.24,0.016098400000000002
3.25,0.0152484
3.26,0.0123425
3.27,0.0151019
3.28,0.0133769
3.29,0.0148859
3.3,0.015202200000000003
3.31,0.015166299999999999
3.32,0.013358100000000001
3.33,0.014085
3.34,0.0138866
3.35,0.0126525
3.36,0.013687200000000002
3.37,0.012767200000000001
3.38,0.015497200000000001
3.39,0.013622200000000001
