temperature,results
2.0,0.666666
2.1,0.666665
2.2,0.666664
2.3,0.666664
2.4,0.666663
2.5,0.666662
2.6,0.66666
2.7,0.6666569999999999
2.8,0.666656
2.9,0.666652
3.0,0.66665
3.1,0.666646
3.2,0.66664
3.3,0.6666380000000001
3.4,0.666632
3.5,0.666624
3.6,0.666612
3.7,0.666607
3.8,0.6665979999999999
3.9,0.666586
4.0,0.666567
4.1,0.666554
4.2,0.666538
4.3,0.666517
4.4,0.666501
4.5,0.666481
4.6,0.666452
4.7,0.66643
4.8,0.666403
4.9,0.666373
5.0,0.666339
5.1,0.666304
5.2,0.66627
5.3,0.666227
5.4,0.666186
5.5,0.66614
5.6,0.666079
5.7,0.666032
5.8,0.665963
5.9,0.665904
6.0,0.665837
