temperature,results
2.0,12712900.0
2.1,12840500.0
2.2,13913400.0
2.3,22.8939
2.4,21.3977
2.5,20.2894
2.6,20.605999999999998
2.7,16.8896
2.8,15.0747
2.9,13.181
3.0,11.9714
3.1,9.51185
3.2,10.6144
3.3,9.16118
3.4,9.006089999999999
3.5,7.987360000000001
3.6,7.362089999999999
3.7,6.756939999999999
3.8,6.36161
3.9,6.04517
4.0,5.17331
4.1,5.22724
4.2,4.84053
4.3,4.50747
4.4,4.41222
4.5,4.0846599999999995
4.6,3.70284
4.7,3.2855199999999996
4.8,3.34876
4.9,3.09101
5.0,2.86768
5.1,2.7088200000000002
5.2,2.4563900000000003
5.3,2.30665
5.4,2.19592
5.5,2.0126
5.6,1.9169900000000002
5.7,1.87041
5.8,1.75888
5.9,1.63234
6.0,1.5588600000000001
