avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.9965,0.993036,0.986216,355.41,0,0.11334,-1.08608e-15
0.072375,0.0133444,0.000468833,6.175,0,1.40322,-4.96825e-17
0.998125,0.996263,0.992578,372.54,0,0.0421785,3.63015e-15
0.99675,0.993535,0.987208,357.315,0,0.0618726,-8.88428e-15
0.998,0.996015,0.992089,378.33,0,0.0498488,-1.35253e-15
0.998,0.996011,0.992067,372.53,0,0.0861033,6.94306e-15
0.996125,0.992284,0.984705,351.65,0,0.0887325,-1.7078e-15
0.99775,0.995514,0.991084,318.735,0,0.131224,4.19637e-15
0.99775,0.995514,0.991082,366.77,0,0.105148,1.51765e-14
0.997375,0.994778,0.989667,362.98,0,0.055152,-1.52794e-15
0.996375,0.992777,0.98566,349.79,0,0.162483,-2.68952e-16
0.79125,0.740979,0.714093,86.675,0,40.8106,4.96811e-14
0.99775,0.995515,0.991089,368.685,0,0.119582,2.91073e-15
0.99725,0.994526,0.989156,362.98,0,0.0971095,5.02459e-15
0.999125,0.998254,0.996526,388.105,0,0.0218669,6.90087e-15
0.997,0.99402,0.988119,355.4,0,0.139626,1.8624e-16
0.998,0.996015,0.992089,374.46,0,0.110741,-6.22197e-15
0.9965,0.993032,0.986194,351.66,0,0.0910455,1.70947e-15
0.997875,0.995766,0.991593,370.62,0,0.155292,1.09399e-14
0.997625,0.995268,0.990608,366.775,0,0.0680766,3.40145e-15
0.997625,0.995264,0.990586,366.77,0,0.053216,-5.77566e-15
0.996625,0.993281,0.986682,357.295,0,0.0866413,6.58779e-15
0.99775,0.995516,0.991097,370.62,0,0.0409224,-1.00836e-15
0.997875,0.995763,0.991578,366.775,0,0.104659,-2.81802e-15
0.998625,0.997261,0.994563,378.345,0,0.0786564,5.97716e-15
0.002125,0.0160669,0.000663223,0.73,0,66.7982,2.4267e-14
0.996,0.992039,0.98423,344.24,0,0.142987,-8.18262e-15
0.998,0.996011,0.992067,378.33,0,0.033136,3.95212e-15
0.997375,0.994772,0.98963,366.78,0,0.0715143,1.08799e-14
0.996875,0.993782,0.98769,357.315,0,0.0833568,-3.90382e-15
0.996625,0.993278,0.986668,355.395,0,0.173994,-8.68888e-15
0.997875,0.995763,0.991578,372.535,0,0.12008,-6.73073e-16
0.996625,0.993276,0.986653,353.525,0,0.105941,-1.60122e-15
0.9975,0.995019,0.990112,362.965,0,0.0784627,-9.32837e-15
0.99775,0.995518,0.991104,364.88,0,0.0562194,-7.1082e-16
0.996625,0.993274,0.986645,351.645,0,0.114323,-1.03786e-14
0.99825,0.996514,0.993082,376.41,0,0.0267763,7.94892e-15
0.99775,0.995516,0.991097,366.785,0,0.0722865,-2.40724e-15
0.997687,0.995392,0.990852,347.905,0,0.104617,-3.09558e-15
0.997,0.994026,0.988156,357.295,0,0.0747363,3.53911e-15
0.99725,0.99452,0.989119,362.955,0,0.0742973,-1.88322e-15
0.997375,0.994767,0.989601,361.065,0,0.0840451,2.76862e-15
0.997625,0.995266,0.990593,364.87,0,0.0416126,-1.22818e-15
0.998,0.996011,0.992067,376.39,0,0.0624927,-3.33095e-15
0.011375,0.00424687,6.7278e-05,1.24,0,1.77014,2.16771e-16
