avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.963556,0.928857,0.864308,85.3733,0,1.09745,-2.02268e-14
0.965333,0.932132,0.869843,96.6089,0,0.797141,3.06718e-15
0.968667,0.938564,0.881845,103.204,0,0.512224,2.77112e-15
0.966,0.933657,0.873538,100.52,0,0.66983,-8.36861e-16
0.97,0.941175,0.886842,108.742,0,0.454012,2.17505e-15
0.960889,0.923781,0.855082,82.9111,0,1.72638,-2.03097e-14
0.973556,0.948085,0.899885,131.809,0,0.946511,-1.33029e-15
0.965778,0.933152,0.872339,99.2222,0,0.388306,1.19292e-14
0.969111,0.939698,0.884938,103.258,0,1.17724,-2.69098e-14
0.968444,0.938185,0.881314,104.538,0,0.486685,3.2235e-14
0.966444,0.934345,0.874218,95.3289,0,0.55439,-4.73695e-17
0.97,0.941144,0.886644,100.547,0,0.593255,-5.84619e-15
0.966222,0.933946,0.873586,99.2044,0,1.04278,2.11584e-14
0.967333,0.93602,0.877181,103.276,0,0.98564,-4.23562e-15
0.968222,0.937786,0.880673,95.4978,0,1.19853,-3.31587e-16
0.967556,0.936415,0.877807,101.844,0,0.483385,6.13435e-15
0.966667,0.934704,0.874633,104.556,0,1.07362,-2.37519e-14
0.973111,0.947176,0.898011,107.364,0,0.684091,-2.13084e-14
0.969556,0.940346,0.88539,119.924,0,0.44871,-3.2685e-15
0.969111,0.939409,0.883353,91.6044,0,0.965904,8.43177e-15
0.965111,0.931864,0.869932,91.5867,0,1.20356,-1.27385e-14
0.969778,0.940772,0.886183,104.591,0,1.46159,-1.40367e-14
0.968444,0.938173,0.881249,108.627,0,0.366701,1.61846e-15
0.967778,0.937039,0.879672,96.6533,0,1.04868,-2.60059e-14
0.968,0.937335,0.879757,100.627,0,0.687285,8.49888e-15
0.96,0.921956,0.851307,90.2711,0,1.30624,-2.55953e-14
0.965333,0.932215,0.870318,101.871,0,0.559773,-1.39306e-14
0.966889,0.935226,0.87592,105.916,0,0.601388,2.25005e-16
0.969333,0.939789,0.883887,112.813,0,0.372782,1.56675e-14
0.964889,0.931405,0.868982,87.9156,0,0.5085,-1.20911e-14
0.967556,0.936454,0.878031,91.5867,0,1.76029,-1.79609e-15
0.968222,0.937643,0.879877,103.151,0,0.741396,-5.18301e-15
0.970222,0.941578,0.887496,99.2311,0,0.816149,1.18473e-15
0.966,0.933416,0.872232,99.2756,0,0.797125,4.21589e-15
0.965556,0.932567,0.870679,103.169,0,0.566512,-9.7897e-16
0.968667,0.938702,0.882604,111.418,0,1.46397,6.46989e-15
0.964889,0.931425,0.869071,96.5556,0,0.750091,-1.58885e-14
0.971111,0.943376,0.89115,111.507,0,0.375244,5.61724e-15
0.962889,0.927502,0.861533,105.844,0,0.564878,1.95636e-14
0.969778,0.940717,0.885878,108.636,0,0.576063,-4.73695e-17
0.964889,0.931322,0.868512,92.8133,0,0.577574,8.13177e-16
0.965111,0.931856,0.869873,88.9822,0,0.494259,-1.08437e-14
0.971556,0.944209,0.892604,101.889,0,1.08503,9.46996e-15
0.97,0.941235,0.887163,103.231,0,1.41189,-1.76688e-14
0.974444,0.949768,0.902912,117.071,0,0.784536,1.22884e-14
0.965111,0.931737,0.869239,103.133,0,0.791669,-1.07766e-15
0.963778,0.929276,0.865046,100.502,0,0.630186,1.18424e-15
0.971333,0.943712,0.891427,114.209,0,1.36507,1.19016e-14
0.967333,0.935968,0.876909,100.662,0,0.550838,1.36187e-15
0.971556,0.94413,0.892168,111.436,0,0.567076,9.23706e-15
0.965333,0.932207,0.870265,95.3022,0,0.496772,-7.62254e-15
0.962889,0.927763,0.86292,93.9511,0,1.28629,-2.86586e-15
0.968,0.937347,0.879821,96.6267,0,1.14913,-1.48346e-14
0.970667,0.942507,0.88949,114.262,0,1.07118,-1.1645e-14
0.962444,0.926637,0.859899,90.2089,0,0.47538,1.67372e-15
0.959333,0.920857,0.849895,91.4622,0,0.474752,2.71427e-14
0.964222,0.930114,0.866544,88.9556,0,0.502393,5.76724e-15
0.965556,0.932883,0.872397,88.0044,0,0.572454,1.28371e-14
0.965778,0.933187,0.872536,87.9689,0,0.655328,-5.29354e-15
0.966,0.933535,0.872879,96.6,0,0.582898,1.8104e-15
0.965333,0.932105,0.869696,91.6044,0,0.636828,1.69425e-14
0.968667,0.93869,0.882529,99.4356,0,0.807818,1.17121e-14
0.966,0.933503,0.872693,100.591,0,0.903627,-9.44627e-15
0.968444,0.938157,0.881154,92.8489,0,1.33615,-2.22953e-14
0.972889,0.946738,0.897164,119.978,0,0.36513,1.80478e-14
0.966,0.933432,0.872309,95.3556,0,0.620645,1.73392e-15
0.968222,0.937707,0.880233,103.302,0,0.475583,2.90928e-15
0.968444,0.938181,0.881281,108.68,0,1.1745,-1.44043e-14
0.963333,0.928387,0.863281,79.5244,0,0.672554,-5.2896e-15
0.966444,0.934281,0.873872,111.373,0,1.04791,-6.94358e-15
0.964889,0.931295,0.868359,86.6089,0,1.12512,-2.58638e-14
0.967111,0.935696,0.87694,97.96,0,0.671764,-2.36255e-14
0.968,0.937252,0.879291,114.2,0,0.279538,-5.21065e-16
0.966667,0.934677,0.874487,99.2756,0,0.551623,-1.93031e-15
0.970222,0.941657,0.887939,110.147,0,1.59941,-1.62043e-14
0.969333,0.939955,0.884784,118.556,0,0.513916,-1.35398e-15
0.966,0.933381,0.872031,99.16,0,0.513815,3.14613e-15
0.969778,0.940721,0.885892,108.618,0,0.492282,3.16192e-15
0.966667,0.934688,0.874543,92.7867,0,0.643482,5.63302e-15
0.968,0.937272,0.879401,106.058,0,1.00297,-1.47951e-14
0.966667,0.934827,0.875318,103.187,0,0.384302,3.37429e-14
0.969556,0.940361,0.885486,108.716,0,0.510084,4.82774e-15
0.969333,0.940041,0.885263,104.609,0,1.09734,-5.34091e-15
0.965556,0.932535,0.870499,91.5689,0,1.89482,-1.41319e-15
0.968889,0.939026,0.882815,100.493,0,0.640014,1.45188e-14
0.968444,0.938244,0.881623,97.9244,0,0.590912,-1.78425e-15
0.964667,0.931236,0.86952,91.7022,0,0.591814,-9.86865e-16
0.968444,0.938114,0.88091,99.3733,0,1.03047,1.3824e-14
0.967333,0.936047,0.877334,100.529,0,0.864941,-1.97373e-15
0.966667,0.934716,0.874695,91.6044,0,0.670893,1.77951e-14
0.967333,0.935921,0.876643,104.467,0,1.18883,1.07608e-14
0.966444,0.934285,0.873899,105.871,0,0.445587,1.35832e-14
0.967333,0.936071,0.877473,100.556,0,0.65232,-4.02641e-16
0.962444,0.926677,0.860111,73.8178,0,1.00971,-4.38168e-16
0.964,0.92962,0.865387,89.1422,0,0.468412,3.35297e-14
0.968444,0.938208,0.881418,101.924,0,0.411821,3.93128e-14
0.962667,0.927087,0.860819,94.0311,0,0.422485,2.50664e-15
0.963333,0.928435,0.863527,85.3467,0,0.945742,6.25278e-15
0.966444,0.93436,0.874314,91.5244,0,0.87017,2.11979e-15
0.962667,0.927135,0.861088,87.7822,0,0.692941,-1.66385e-14
