temperature,results
1.0,0.6666479999999999
1.01,0.666647
1.02,0.666644
1.03,0.666641
1.04,0.66664
1.05,0.666637
1.06,0.6666350000000001
1.07,0.666633
1.08,0.6666310000000001
1.09,0.666629
1.1,0.666626
1.11,0.666622
1.12,0.666619
1.13,0.666616
1.14,0.666612
1.15,0.666608
1.16,0.666605
1.17,0.6665989999999999
1.18,0.666596
1.19,0.6665909999999999
1.2,0.666585
1.21,0.6665770000000001
1.22,0.666567
1.23,0.666559
1.24,0.666554
1.25,0.666547
1.26,0.666539
1.27,0.666531
1.28,0.66652
1.29,0.666505
1.3,0.666497
1.31,0.6664869999999999
1.32,0.666478
1.33,0.666462
1.34,0.66645
1.35,0.6664329999999999
1.36,0.666419
1.37,0.666401
1.38,0.666385
1.39,0.6663680000000001
1.4,0.666354
1.41,0.666342
1.42,0.666319
1.43,0.666303
1.44,0.666285
1.45,0.666265
1.46,0.666246
1.47,0.6662239999999999
1.48,0.666203
1.49,0.666177
1.5,0.666146
1.51,0.6661189999999999
1.52,0.666089
1.53,0.66606
1.54,0.666034
1.55,0.665974
1.56,0.665941
1.57,0.6659109999999999
1.58,0.665882
1.59,0.665828
1.6,0.665778
1.61,0.665696
1.62,0.665618
1.63,0.665532
1.64,0.665518
1.65,0.6654680000000001
1.66,0.665429
1.67,0.665365
1.68,0.6652680000000001
1.69,0.665185
1.7,0.665144
1.71,0.664977
1.72,0.664881
1.73,0.664795
1.74,0.664734
1.75,0.664647
1.76,0.664566
1.77,0.6644100000000001
1.78,0.664281
1.79,0.66406
1.8,0.663949
1.81,0.663799
1.82,0.663656
1.83,0.663518
1.84,0.663384
1.85,0.6632170000000001
1.86,0.662945
1.87,0.662535
1.88,0.6622819999999999
1.89,0.662062
1.9,0.661672
1.91,0.6613359999999999
1.92,0.6609550000000001
1.93,0.660655
1.94,0.660999
1.95,0.65989
1.96,0.6596029999999999
1.97,0.659207
1.98,0.658612
1.99,0.658018
2.0,0.657373
2.01,0.657291
2.02,0.656981
2.03,0.656181
2.04,0.655583
2.05,0.654015
2.06,0.653468
2.07,0.651805
2.08,0.653284
2.09,0.651411
2.1,0.648089
2.11,0.647003
2.12,0.6471819999999999
2.13,0.645439
2.14,0.641239
2.15,0.644185
2.16,0.6389100000000001
2.17,0.637304
2.18,0.6357149999999999
2.19,0.63354
2.2,0.631215
2.21,0.631835
2.22,0.626786
2.23,0.6283340000000001
2.24,0.622722
2.25,0.619731
2.26,0.616228
2.27,0.6156159999999999
2.28,0.603634
2.29,0.6080439999999999
2.3,0.601116
2.31,0.601328
2.32,0.5957020000000001
2.33,0.592198
2.34,0.58777
2.35,0.577125
2.36,0.5750930000000001
2.37,0.579179
2.38,0.5674060000000001
2.39,0.567038
2.4,0.552967
2.41,0.553715
2.42,0.545863
2.43,0.541644
2.44,0.532125
2.45,0.514283
2.46,0.527636
2.47,0.512848
2.48,0.49836899999999995
2.49,0.504301
2.5,0.507996
2.51,0.49525600000000003
2.52,0.478328
2.53,0.46468000000000004
2.54,0.461421
2.55,0.458081
2.56,0.447989
2.57,0.44232299999999997
2.58,0.418109
2.59,0.44521000000000005
2.6,0.428983
2.61,0.42163999999999996
2.62,0.421212
2.63,0.40160799999999997
2.64,0.393725
2.65,0.375904
2.66,0.364241
2.67,0.37999
2.68,0.359225
2.69,0.367844
2.7,0.359277
2.71,0.363149
2.72,0.350906
2.73,0.35525500000000004
2.74,0.322355
2.75,0.31204
2.76,0.32390399999999997
2.77,0.32854
2.78,0.30027
2.79,0.321348
2.8,0.307728
2.81,0.287346
2.82,0.286711
2.83,0.277441
2.84,0.290542
2.85,0.28032199999999996
2.86,0.28268499999999996
2.87,0.244952
2.88,0.275971
2.89,0.253596
2.9,0.234862
2.91,0.256558
2.92,0.244625
2.93,0.257116
2.94,0.22271
2.95,0.253445
2.96,0.21401399999999998
2.97,0.209398
2.98,0.22084299999999998
2.99,0.196174
3.0,0.202751
3.01,0.2262
3.02,0.199213
3.03,0.196329
3.04,0.16094
3.05,0.190324
3.06,0.179134
3.07,0.208218
3.08,0.190905
3.09,0.164893
3.1,0.17143599999999998
3.11,0.180784
3.12,0.16851
3.13,0.160814
3.14,0.166197
3.15,0.159721
3.16,0.146998
3.17,0.15475799999999998
3.18,0.170188
3.19,0.157118
3.2,0.149839
3.21,0.124126
3.22,0.16583499999999998
3.23,0.149539
3.24,0.123176
3.25,0.159911
3.26,0.145082
3.27,0.138215
3.28,0.130114
3.29,0.13266
3.3,0.118093
3.31,0.12353599999999999
3.32,0.14263399999999998
3.33,0.139242
3.34,0.11685599999999999
3.35,0.128073
3.36,0.086336
3.37,0.122503
3.38,0.107044
3.39,0.11475999999999999
