temperature,results
1.0,0.00915138
1.01,0.00912697
1.02,0.00888742
1.03,0.00838966
1.04,0.00891114
1.05,0.00889951
1.06,0.008721799999999998
1.07,0.00865192
1.08,0.00872624
1.09,0.00889102
1.1,0.00898141
1.11,0.00891608
1.12,0.00835401
1.13,0.00881104
1.14,0.008526
1.15,0.00892617
1.16,0.00905944
1.17,0.00887358
1.18,0.0091624
1.19,0.00919848
1.2,0.00910006
1.21,0.00914975
1.22,0.00889829
1.23,0.00898868
1.24,0.00817951
1.25,0.00906043
1.26,0.00906953
1.27,0.00908757
1.28,0.00891477
1.29,0.00839312
1.3,0.00881774
1.31,0.00884815
1.32,0.00897195
1.33,0.00885013
1.34,0.00896803
1.35,0.0091178
1.36,0.00940499
1.37,0.00817125
1.38,0.00940507
1.39,0.00944322
1.4,0.00864404
1.41,0.00891522
1.42,0.00860203
1.43,0.00858123
1.44,0.00849725
1.45,0.0100012
1.46,0.008580899999999999
1.47,0.00836067
1.48,0.00842397
1.49,0.00862871
1.5,0.008583200000000001
1.51,0.00852016
1.52,0.00839402
1.53,0.00853658
1.54,0.00858417
1.55,0.00838
1.56,0.00833974
1.57,0.00843112
1.58,0.00818755
1.59,0.00783217
1.6,0.00783232
1.61,0.0088004
1.62,0.00841073
1.63,0.00829982
1.64,0.00816758
1.65,0.00839244
1.66,0.00829181
1.67,0.008409
1.68,0.00831342
1.69,0.00859058
1.7,0.00863248
1.71,0.00881484
1.72,0.00940667
1.73,0.00894263
1.74,0.00889414
1.75,0.00884582
1.76,0.00893689
1.77,0.00903852
1.78,0.00899193
1.79,0.00925452
1.8,0.00970528
1.81,0.0100418
1.82,0.012981399999999999
1.83,0.013234399999999999
1.84,0.013666999999999999
1.85,0.0132811
1.86,0.014321700000000001
1.87,0.0138905
1.88,0.0143377
1.89,0.014316200000000001
1.9,0.0163243
1.91,0.0180488
1.92,0.0190665
1.93,0.0197749
1.94,0.0213031
1.95,0.025820999999999997
1.96,0.030323400000000004
1.97,0.034307599999999994
1.98,0.043401199999999994
1.99,0.0500414
2.0,0.0604878
2.01,0.08153610000000001
2.02,0.122082
2.03,0.11460799999999999
2.04,0.275857
2.05,0.6049140000000001
2.06,0.7150890000000001
2.07,0.631817
2.08,0.513915
2.09,0.406032
2.1,0.334435
2.11,0.291638
2.12,0.251889
2.13,0.22148099999999998
2.14,0.19984100000000002
2.15,0.162364
2.16,0.14218599999999998
2.17,0.12391700000000001
2.18,0.10579100000000001
2.19,0.104585
2.2,0.0736173
2.21,0.0674865
2.22,0.06116669999999999
2.23,0.052878699999999994
2.24,0.0397162
2.25,0.033918199999999996
2.26,0.024883000000000002
2.27,0.018075499999999998
2.28,0.0174242
2.29,0.012967600000000001
2.3,0.012137899999999998
2.31,0.010772
2.32,0.00626967
2.33,0.00528988
2.34,0.00533644
2.35,0.00418227
2.36,0.00343573
2.37,0.00273205
2.38,0.00278557
2.39,0.00296514
2.4,0.00240915
2.41,0.00145234
2.42,0.00166092
2.43,0.00141642
2.44,0.00174537
2.45,0.00155682
2.46,0.00112927
2.47,0.00087419
2.48,0.000959557
2.49,0.00112428
2.5,0.000831026
2.51,0.00067855
2.52,0.0
2.53,0.00067855
2.54,0.000479822
2.55,0.0
2.56,0.000479822
2.57,0.00067855
2.58,0.0
2.59,0.000586444
2.6,0.00067855
2.61,0.000479822
2.62,0.00067855
2.63,0.0
2.64,0.000479822
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.000479822
2.73,0.000479822
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.000479822
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.000479822
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0
3.02,0.0
3.03,0.0
3.04,0.0
3.05,0.0
3.06,0.0
3.07,0.0
3.08,0.0
3.09,0.0
3.1,0.0
3.11,0.0
3.12,0.0
3.13,0.0
3.14,0.0
3.15,0.0
3.16,0.0
3.17,0.0
3.18,0.0
3.19,0.0
3.2,0.0
3.21,0.0
3.22,0.0
3.23,0.0
3.24,0.0
3.25,0.0
3.26,0.0
3.27,0.0
3.28,0.0
3.29,0.0
3.3,0.0
3.31,0.0
3.32,0.0
3.33,0.0
3.34,0.0
3.35,0.0
3.36,0.0
3.37,0.0
3.38,0.0
3.39,0.0
