avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.0709444,0.0134862,0.000612652,1.45111,0,1.42212,1.58022e-16
0.935556,0.875669,0.768156,324.329,0,3.98973,-4.36859e-15
0.937611,0.879344,0.774047,325.36,0,3.65158,-9.417e-15
0.937722,0.879611,0.774738,311.284,0,4.36235,9.05045e-15
0.924944,0.856407,0.736352,311.251,0,3.90076,1.67298e-15
0.938833,0.881646,0.778135,324.082,0,1.77232,-6.27985e-16
0.939722,0.883335,0.781187,335.104,0,2.77258,5.36694e-15
0.939444,0.882742,0.779887,349.64,0,1.07134,3.20747e-15
0.2415,0.0650638,0.00587019,25.3956,0,1.84752,9.93125e-16
0.938667,0.88126,0.777195,299.769,0,1.24832,6.01642e-15
0.927278,0.860638,0.743323,65.54,0,4.32323,-6.95277e-16
0.820722,0.675308,0.460635,268.962,0,8.23265,6.61607e-15
0.938167,0.880398,0.775945,318.284,0,1.82631,-1.33357e-14
0.935444,0.875226,0.766613,306.647,0,4.71689,1.5833e-15
0.938556,0.88111,0.777137,354.598,0,1.74578,-7.19104e-15
0.936722,0.877705,0.771252,304.216,0,2.60527,1.58643e-14
0.936833,0.878005,0.772095,319.54,0,2.00695,2.56502e-15
0.928222,0.862091,0.744874,274.756,0,7.76508,-3.51805e-15
0.937389,0.878918,0.773261,318.569,0,3.98831,-7.02645e-15
0.929444,0.864719,0.750492,264.402,0,3.07028,9.51733e-15
0.929222,0.863764,0.747153,253.656,0,5.27238,4.86626e-15
0.934222,0.873078,0.763337,301.893,0,1.46892,9.83796e-15
0.936722,0.877883,0.772177,295.44,0,2.78657,-6.1568e-15
0.931667,0.868457,0.755754,309.033,0,2.78249,7.04464e-15
0.933667,0.872262,0.762566,307.913,0,3.90047,1.39719e-14
0.934625,0.873868,0.764841,65.1556,0,2.47961,6.79e-15
0.938889,0.881685,0.777966,337.256,0,1.67494,-3.27648e-15
0.935833,0.876067,0.76848,287.307,0,4.4495,-9.05436e-15
0.930444,0.866207,0.751961,284.967,0,2.96866,3.81375e-15
0.939167,0.88231,0.779427,308.829,0,2.52521,6.64068e-16
0.939111,0.882261,0.779523,325.516,0,1.88008,-3.94064e-15
0.9365,0.877358,0.770883,59.4156,0,1.75926,1.33856e-15
0.932111,0.86904,0.755953,264.382,0,3.41509,-1.12326e-14
0.933833,0.872435,0.762466,44.7956,0,2.34284,-8.17741e-16
0.860167,0.743886,0.565196,240.451,0,8.77661,-2.21856e-15
0.9115,0.832574,0.698804,279.231,0,4.90396,9.79093e-15
0.933444,0.871576,0.760541,294.911,0,1.80198,4.1996e-15
0.932639,0.870426,0.759682,64.6111,0,7.08657,-3.84618e-15
0.625222,0.466779,0.310044,68.4933,0,4.95471,3.2083e-15
0.936389,0.877199,0.770777,297.338,0,2.53602,-2.64202e-16
0.936278,0.876882,0.769846,315.189,0,4.38569,9.37497e-15
0.931778,0.868416,0.754864,294.971,0,2.68226,-9.23739e-15
0.9385,0.881137,0.777635,321.889,0,2.49341,7.77551e-15
0.8475,0.718701,0.517788,260.827,0,5.32603,-1.0578e-14
0.934681,0.87391,0.764692,48.4578,0,1.7446,-3.51682e-15
0.939222,0.882396,0.77953,325.327,0,2.31117,1.00132e-14
0.936167,0.876617,0.76919,307.929,0,2.6079,8.16288e-15
0.934444,0.873522,0.764205,286.16,0,1.35301,-5.07751e-15
0.929778,0.8648,0.748952,305.609,0,2.15291,1.24715e-16
0.936333,0.877152,0.770859,321.876,0,1.34723,-3.68915e-15
0.913111,0.835273,0.702463,293.664,0,3.51519,1.16558e-14
0.940222,0.884335,0.783155,320.591,0,4.87205,-8.8634e-15
0.929778,0.86521,0.750987,51.7244,0,2.69026,9.11336e-15
0.936333,0.877055,0.770383,326.64,0,5.619,-9.6092e-15
0.939944,0.883814,0.78223,334.016,0,3.75211,9.5065e-15
0.937167,0.878564,0.772867,324.267,0,2.11127,1.40304e-14
0.935556,0.875551,0.767589,336.329,0,3.29398,-1.69905e-14
0.937611,0.8794,0.774348,307.949,0,2.23679,-7.4223e-15
0.929722,0.864936,0.750006,306.28,0,4.40427,3.23639e-15
