avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.0440556,0.015292,0.00041753,1,0,1,0
0.0195556,0.00913852,0.000270043,1,0,1,0
0.0201389,0.0141725,0.000672964,1,0,1,0
0.00266667,0.0139417,0.000496612,1,0,1,0
0.00377778,0.0117696,0.000386624,1,0,1,0
0.00561111,0.0133267,0.00050848,1,0,1,0
0.0110278,0.0177357,0.000735476,1,0,1,0
0.01925,0.0140514,0.000556627,1,0,1,0
0.00538889,0.0112786,0.000448445,1,0,1,0
0.0122778,0.0102275,0.000307342,1,0,1,0
0.0129444,0.01087,0.000314186,1,0,1,0
0.0205,0.0170498,0.000676646,1,0,1,0
0.00430556,0.0140844,0.000545104,1,0,1,0
0.00986111,0.013079,0.000441758,1,0,1,0
0.00708333,0.0134435,0.000543809,1,0,1,0
0.00661111,0.0111704,0.000381259,1,0,1,0
0.0131667,0.0121154,0.000439123,1,0,1,0
0.000875,0.0139753,0.000493057,1,0,1,0
0.0178889,0.0139276,0.000513731,1,0,1,0
0.00408333,0.0107928,0.000328583,1,0,1,0
0.027,0.0142432,0.000519056,1,0,1,0
0.016,0.0123504,0.00040901,1,0,1,0
0.0307222,0.0102547,0.000276592,1,0,1,0
0.0141944,0.015074,0.000523557,1,0,1,0
0.002375,0.00892565,0.00020888,1,0,1,0
0.0140556,0.012489,0.000379586,1,0,1,0
0.00459722,0.0118432,0.000382818,1,0,1,0
0.00927778,0.0111707,0.000366077,1,0,1,0
0.00136111,0.013553,0.000501371,1,0,1,0
0.00133333,0.0107141,0.00023622,1,0,1,0
0.0184444,0.0128351,0.000417802,1,0,1,0
0.00561111,0.0130058,0.000408679,1,0,1,0
0.00138889,0.0128761,0.000543531,1,0,1,0
0.02175,0.0139236,0.000534716,1,0,1,0
0.00368056,0.0127873,0.000498104,1,0,1,0
0.0272222,0.0128007,0.000343185,1,0,1,0
0.00188889,0.00999309,0.000308678,1,0,1,0
0.000555556,0.0126891,0.000359687,1,0,1,0
0.0233889,0.0091416,0.000237209,1,0,1,0
0.0456111,0.015132,0.000456326,1,0,1,0
0.00816667,0.0131801,0.000498642,1,0,1,0
0.00811111,0.0111415,0.00029276,1,0,1,0
0.00811111,0.0128263,0.000536582,1,0,1,0
0.0181111,0.00888568,0.000222552,1,0,1,0
0.00175,0.0113711,0.000380573,1,0,1,0
0.0132778,0.0109478,0.000272222,1,0,1,0
0.00966667,0.0116585,0.000321336,1,0,1,0
0.00990278,0.015682,0.000691349,1,0,1,0
0.0162917,0.0111838,0.000442813,1,0,1,0
0.0107222,0.0170258,0.000664604,1,0,1,0
0.0201111,0.0112615,0.00023537,1,0,1,0
0.0386667,0.0102536,0.000240501,1,0,1,0
0.00645833,0.0101968,0.00028412,1,0,1,0
0.00770833,0.0120818,0.000411828,1,0,1,0
0.01075,0.0141604,0.000546127,1,0,1,0
0.0126667,0.0105747,0.000253072,1,0,1,0
0.0133056,0.0127388,0.00037493,1,0,1,0
0.0153611,0.0107382,0.000403158,1,0,1,0
0.0005,0.00977395,0.000249246,1,0,1,0
0.0210556,0.0151336,0.000664268,1,0,1,0
0.00605556,0.0126043,0.0004285,1,0,1,0
0.00255556,0.0139862,0.000605692,1,0,1,0
0.0101667,0.0128225,0.000466882,1,0,1,0
0.0117361,0.0160444,0.000734905,1,0,1,0
0.00781944,0.01307,0.000474288,1,0,1,0
0.0157361,0.0117313,0.000417687,1,0,1,0
0.00425,0.0118773,0.000345192,1,0,1,0
0.00554167,0.0123431,0.000413426,1,0,1,0
0.00736111,0.0132715,0.000513114,1,0,1,0
0.0150278,0.0166668,0.000791229,1,0,1,0
0.00904167,0.0121189,0.000400117,1,0,1,0
0.0136944,0.0114612,0.000526939,1,0,1,0
0.000902778,0.00972985,0.000325978,1,0,1,0
0.00844444,0.0141215,0.000659941,1,0,1,0
0.0295556,0.0146775,0.000661818,1,0,1,0
0.00486111,0.0107499,0.000296021,1,0,1,0
0.00452778,0.0127191,0.00046818,1,0,1,0
0.0123889,0.0158594,0.000486446,1,0,1,0
0.0118333,0.0113811,0.000289955,1,0,1,0
0.00238889,0.011936,0.000410009,1,0,1,0
0.00986111,0.00760932,0.000137315,1,0,1,0
0.000166667,0.0133722,0.000367808,1,0,1,0
0.0136667,0.0143536,0.000528323,1,0,1,0
0.0202222,0.0117353,0.000371621,1,0,1,0
0.00163889,0.0137154,0.000601653,1,0,1,0
0.0226389,0.0154953,0.000849183,1,0,1,0
0.00502778,0.0133249,0.000438794,1,0,1,0
0.0153333,0.0127254,0.000408104,1,0,1,0
0.00147222,0.0140067,0.000525234,1,0,1,0
0.00311111,0.00995926,0.00023582,1,0,1,0
0.00783333,0.0126749,0.000465691,1,0,1,0
0.0138333,0.0126451,0.000442866,1,0,1,0
0.0169444,0.0124665,0.000544086,1,0,1,0
0.00148611,0.0136543,0.000540069,1,0,1,0
0.0045,0.0132665,0.00049161,1,0,1,0
0.032,0.0105422,0.000300148,1,0,1,0
0.00905556,0.0126525,0.000441759,1,0,1,0
0.0148333,0.0161159,0.000792714,1,0,1,0
0.0277778,0.0149252,0.00050303,1,0,1,0
0.019,0.0127069,0.000306264,1,0,1,0
