temp,chi0_re
1.01,492.63741368
1.02,502.736248
1.03,477.2276986999999
1.04,461.22530618
1.05,483.0558813500001
1.06,489.8027702
1.07,451.2734750400002
1.08,452.40497639999995
1.09,467.83777320000013
1.11,441.6344084999998
1.12,442.3577535000002
1.13,452.2125344
1.14,470.6005704999999
1.15,414.17187069999983
1.16,422.09708494000006
1.17,430.74758130000015
1.18,437.1627660099999
1.19,398.5555969999999
1.1,454.1053140000001
1.21,428.06360378
1.22,400.7045836
1.23,406.85287339999996
1.24,352.33336079999987
1.25,367.9712131999999
1.26,376.36625599999985
1.27,355.1359895000002
1.28,340.09776869999985
1.29,347.69576120000005
1.2,419.06220449999995
1.31,326.4288061999998
1.32,327.82156819999994
1.33,324.597912
1.34,307.66017209999995
1.35,308.4562330000001
1.36,277.6559683
1.37,289.004288
1.38,273.4563504
1.39,258.3774930000001
1.3,366.8609966700001
1.41,241.9994350000001
1.42,226.90940800000004
1.43,237.51736099999994
1.44,220.15788069999996
1.45,218.17051199999997
1.46,189.49152500000008
1.47,194.48511499999992
1.48,191.06942099999998
1.49,181.07893400000003
1.4,259.63862533
1.51,165.1863198
1.52,148.236453
1.53,137.21641969999996
1.54,143.4237704
1.55,128.17169580000007
1.56,123.4863242
1.57,113.64965059999999
1.58,103.38445530000004
1.59,95.65695040000003
1.5,167.65256579999993
1.61,86.8250713
1.62,80.92560869999997
1.63,70.6043449
1.64,69.03464779999999
1.65,61.020292299999966
1.66,56.193870000000025
1.67,52.09259929999999
1.68,49.65327090000001
1.69,42.687687700000005
1.6,94.05323029999995
1.71,34.393289500000016
1.72,31.687352800000006
1.73,29.19429090000001
1.74,24.71084100000001
1.75,22.168403599999998
1.76,19.929644599999992
1.77,17.61035050000001
1.78,15.6748657
1.79,13.617135200000002
1.7,38.781535300000016
1.81,9.076599399999994
1.82,8.960353200000004
1.83,7.157224900000001
1.84,5.7449992
1.85,4.787577799999999
1.86,4.048044699999999
1.87,3.0257331999999995
1.88,2.927734000000001
1.89,2.4237554
1.8,11.186576799999997
1.91,1.8775997000000002
1.92,1.7109336000000002
1.93,1.4190449000000003
1.94,1.3447551999999998
1.95,1.1795334000000004
1.96,1.1427331000000007
1.97,1.1291779
1.98,1.0776662999999997
1.99,1.0711333999999997
1.9,2.0606001000000007
1.0,527.37742
2.01,1.0368666000000004
2.02,1.0246225999999996
2.03,1.0233553999999998
2.04,1.0115555999999997
2.05,1.0080666999999994
2.06,1.0091775
2.07,1.0075108000000004
2.08,1.0056439
2.09,1.0046663999999998
2.11,1.0027768999999997
2.12,1.0035765999999997
2.13,1.0021768999999998
2.14,1.0015546999999996
2.15,1.0019323999999998
2.16,1.0011549999999998
2.17,1.0010213999999997
2.18,1.0011551
2.19,1.0003997
2.1,1.0045325
2.21,1.0004661999999998
2.22,1.0004439999999999
2.23,1.0003107999999998
2.24,1.0003108999999997
2.25,1.0002885999999998
2.26,1.000333
2.27,1.0002442
2.28,1.0001554
2.29,1.0001332
2.2,1.0006882999999995
2.31,1.0000666
2.32,1.0001776
2.33,1.0000666
2.34,1.0000444
2.35,1.0000444
2.36,1.0000444
2.37,1.0000221999999999
2.38,1.000111
2.39,1.0000444
2.3,1.0001997999999999
2.41,1.0000444
2.42,1.0000221999999999
2.43,1.0000221999999999
2.44,1.0000444
2.45,1.0000444
2.46,1.0000221999999999
2.47,1.0000444
2.48,1.0
2.49,1.0000221999999999
2.4,1.0000444
2.51,1.0
2.52,1.0000444
2.53,1.0
2.54,1.0
2.55,1.0000221999999999
2.56,1.0000221999999999
2.57,1.0000444
2.58,1.0
2.59,1.0
2.5,1.0000221999999999
2.61,1.0
2.62,1.0000221999999999
2.63,1.0
2.64,1.0
2.65,1.0000221999999999
2.66,1.0
2.67,1.0000221999999999
2.68,1.0000221999999999
2.69,1.0
2.6,1.0000221999999999
2.71,1.0
2.72,1.0
2.73,1.0000221999999999
2.74,1.0
2.75,1.0
2.76,1.0
2.77,1.0
2.78,1.0
2.79,1.0
2.7,1.0
2.81,1.0
2.82,1.0000221999999999
2.83,1.0000221999999999
2.84,1.0
2.85,1.0
2.86,1.0
2.87,1.0
2.88,1.0
2.89,1.0
2.8,1.0
2.91,1.0
2.92,1.0000221999999999
2.93,1.0
2.94,1.0
2.95,1.0
2.96,1.0
2.97,1.0
2.98,1.0
2.99,1.0000221999999999
2.9,1.0
2.0,1.0577998999999998
3.01,1.0
3.02,1.0
3.03,1.0
3.04,1.0
3.05,1.0
3.06,1.0
3.07,1.0
3.08,1.0
3.09,1.0
3.11,1.0
3.12,1.0
3.13,1.0
3.14,1.0
3.15,1.0
3.16,1.0
3.17,1.0
3.18,1.0
3.19,1.0
3.1,1.0
3.21,1.0
3.22,1.0
3.23,1.0
3.24,1.0
3.25,1.0
3.26,1.0
3.27,1.0
3.28,1.0
3.29,1.0
3.2,1.0
3.31,1.0
3.32,1.0
3.33,1.0
3.34,1.0
3.35,1.0
3.36,1.0
3.37,1.0
3.38,1.0
3.39,1.0
3.3,1.0
3.0,1.0
