temperature,results
1.5,0.66665
1.6,0.6666350000000001
1.7,0.666618
1.8,0.666596
1.9,0.666552
2.0,0.666495
2.1,0.666435
2.2,0.666325
2.3,0.666199
2.4,0.666032
2.5,0.665714
2.6,0.665424
2.7,0.66519
2.8,0.664135
2.9,0.663403
3.0,0.660303
3.1,0.6559510000000001
3.2,0.650882
3.3,0.648786
3.4,0.6440899999999999
3.5,0.640876
3.6,0.6297729999999999
3.7,0.613556
3.8,0.597737
3.9,0.576821
4.0,0.508935
4.1,0.505761
4.2,0.45200500000000005
4.3,0.374699
4.4,0.292031
4.5,0.341074
4.6,0.33413200000000004
4.7,0.253619
4.8,0.229911
4.9,0.298792
5.0,0.268654
