temperature,results
1.5,0.0162568
1.6,0.0129968
1.7,0.0114374
1.8,0.00792889
1.9,0.010040799999999999
2.0,0.00773099
2.1,0.00650951
2.2,0.00558055
2.3,0.00513303
2.4,0.00418326
2.5,0.00367132
2.6,0.00208192
2.7,0.00135841
2.8,0.00186384
2.9,0.00293494
3.0,0.00340563
3.1,0.00883661
3.2,0.0137651
3.3,0.0421354
3.4,0.218153
3.5,0.385837
3.6,0.23254499999999997
3.7,0.147989
3.8,0.12881700000000001
3.9,0.0972115
4.0,0.08565360000000001
4.1,0.0729013
4.2,0.066121
4.3,0.0585615
4.4,0.0567389
4.5,0.051643299999999996
4.6,0.0513357
4.7,0.051624500000000004
4.8,0.0420457
4.9,0.042167699999999995
5.0,0.044754699999999994
