temperature,results
1.5,0.9975799999999999
1.6,0.99672
1.7,0.9956200000000001
1.8,0.9945
1.9,0.99236
2.0,0.9899600000000001
2.1,0.9868
2.2,0.9829
2.3,0.9777600000000001
2.4,0.97296
2.5,0.9675
2.6,0.9607
2.7,0.9516
2.8,0.94166
2.9,0.92914
3.0,0.915434
3.1,0.89604
3.2,0.875051
3.3,0.849368
3.4,0.815233
3.5,0.7877569999999999
3.6,0.736542
3.7,0.667366
3.8,0.553429
3.9,0.482333
4.0,0.406667
4.1,0.320706
4.2,0.268333
4.3,0.19933299999999998
4.4,0.1766
4.5,0.153
4.6,0.1404
4.7,0.118692
4.8,0.11175999999999998
4.9,0.1008
5.0,0.112727
