avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.164,0.08032,0.0132556,1.58,0,1.25645,0.319367
0.016,0.23248,0.0975182,2.1,0,1.52807,0.244456
0.12,0.26248,0.0916304,2.92,0,0.912109,0.608555
0.548,0.33152,0.143636,3.02,0,0.931001,0.269089
0.038,0.33932,0.148703,3.14,0,1.15918,0.49535
0.158,0.4094,0.215455,4.82,0,1.11215,0.0452786
0.522,0.30332,0.131341,3.5,0,1.11792,0.250063
0.158,0.31548,0.148364,3.52,0,1.40505,0.892006
0.334,0.21436,0.0839327,2.42,0,1.54393,0.424975
0.228,0.21048,0.0684704,2.28,0,1.04791,0.319059
0.186,0.30124,0.137703,3.08,0,1.00307,0.418076
0.318,0.239,0.0817165,2.04,0,1.18198,0.440936
0.486,0.34156,0.183344,3.78,0,0.846027,0.447613
0.044,0.26208,0.111757,2.7,0,1.14521,0.20458
0.498,0.31068,0.144897,3.58,0,1.46328,0.273947
0.34,0.21792,0.0842279,2.12,0,1.26089,0.229377
0.152,0.25032,0.118795,2.14,0,1.32705,0.342439
0.01,0.24724,0.105992,2.22,0,1.16563,0.504242
0.37,0.195,0.0628084,1.9,0,1.17998,0.139541
0.126,0.42916,0.206533,5.7,0,1.31536,0.0172543
0.72,0.53184,0.307697,7.8,0,0.370463,0.235585
0.32,0.30512,0.155864,2.66,0,1.12306,0.491589
0.462,0.33572,0.175836,2.14,0,1.24924,0.366519
0.062,0.2666,0.123983,1.86,0,1.26371,0.443194
0.564,0.3368,0.138022,4.44,0,0.776469,1.21528
0.09,0.3154,0.128477,3.1,0,1.2105,0.0205488
0.688,0.49392,0.27608,7.34,0,0.825581,0.670526
0.486,0.27724,0.113031,2.14,0,1.3198,0.326468
0.392,0.29232,0.122354,3.32,0,1.01935,0.520055
0.13,0.24036,0.104648,2.78,0,1.33679,1.12225
0.466,0.39204,0.20307,3.64,0,1.13723,0.613402
0.522,0.28956,0.102083,3.4,0,0.914625,0.441496
0.416,0.42136,0.217919,5.82,0,0.345039,0.217189
0.18,0.37432,0.192938,3.24,0,1.02238,0.578286
0.528,0.36136,0.191413,3.2,0,1.0018,0.442629
0.612,0.40632,0.211823,5.46,0,0.782487,0.295977
0.152,0.31152,0.154331,2.56,0,1.04748,0.304686
0.268,0.1768,0.0733732,1.72,0,1.22352,0.163622
0.23,0.19636,0.0694777,1.86,0,1.26265,0.336546
0.376,0.20352,0.0786584,1.78,0,1.28848,0.0157421
0.042,0.149,0.0445487,1.5,0,1.26923,0.0583229
0.454,0.33204,0.148176,3.38,0,1.22783,0.945165
0.048,0.15744,0.0631371,1.5,0,1.24939,0.185588
0.154,0.37692,0.22054,3.08,0,1.13368,0.487092
0.374,0.19052,0.0699062,2.48,0,1.21587,0.813756
0.204,0.17352,0.0584672,1.92,0,1.11941,0.53568
0.562,0.36236,0.170138,4.24,0,1.07724,1.31099
0.034,0.10772,0.0254846,1.5,0,1.20244,0.330219
0.526,0.35468,0.187122,4.32,0,0.733589,0.392313
0.452,0.386,0.196685,5,0,0.84244,0.875702
0.042,0.45156,0.254628,4.84,0,1.39945,0.480005
0.55,0.33708,0.153018,2.86,0,1.14278,0.335035
0.396,0.29272,0.132155,2.26,0,1.22788,0.306847
0.408,0.20072,0.0636932,2.96,0,0.941904,0.971866
0.35,0.49692,0.291721,8.16,0,-0.11749,-0.36308
0.536,0.34352,0.167894,3.96,0,1.58104,0.178323
0.616,0.41064,0.210351,4.92,0,0.636071,1.23764
0.352,0.2712,0.0940337,2.9,0,0.953465,0.591485
0.284,0.25328,0.105606,1.76,0,1.35128,0.071543
0.212,0.42816,0.26717,5.58,0,0.782871,-0.0969302
0.448,0.284,0.146666,2.28,0,1.27827,0.495487
0.218,0.12852,0.0320328,1.6,0,1.36322,0.252831
5.55112e-18,0.07976,0.0169575,1.38,0,1.12884,0.249507
0.37,0.29428,0.144115,2.54,0,1.21964,0.647719
0.424,0.29936,0.126204,2.96,0,1.438,0.729298
0.096,0.26808,0.108451,2.46,0,0.938894,0.460154
0.504,0.34752,0.177574,3.22,0,1.21203,-0.0575084
0.062,0.41876,0.24045,4.58,0,1.81016,1.07302
0.366,0.21532,0.0958759,2.44,0,1.36067,0.341747
0.23,0.31476,0.143507,3.74,0,0.939487,1.04008
0.18,0.25864,0.0922172,2.38,0,1.22262,0.441381
0.404,0.21568,0.0750436,2.02,0,1.19705,0.111623
0.08,0.32888,0.169736,2.66,0,1.13456,0.160206
0.114,0.29692,0.13466,2.86,0,1.21756,0.566685
0.314,0.17068,0.0473552,1.66,0,1.24367,0.344679
0.452,0.28288,0.104538,2.3,0,1.22536,0.565104
0.516,0.3292,0.176609,2.96,0,1.70167,0.516185
0.15,0.18596,0.0630114,1.66,0,1.23936,0.297449
0.638,0.43652,0.242408,4.52,0,2.02528,0.370477
0.494,0.29852,0.137841,2.66,0,1.53912,0.324257
0.14,0.32272,0.170106,2.56,0,1.26419,0.120781
0.424,0.31336,0.160145,2.78,0,1.27936,0.814772
0.148,0.26232,0.116933,2.54,0,1.48613,0.328579
0.378,0.26644,0.108865,2.56,0,1.52764,0.394588
