avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
0.152,0.05336,0.0061807,1.2,0,1.06983,-0.00715641
0.038,0.10836,0.0269433,1.26,0,1.14579,0.0309052
0.072,0.12648,0.0406526,1.34,0,1.05148,0.18382
0.022,0.05516,0.00639397,1.16,0,1.06687,0.0854382
0.072,0.07952,0.020678,1.26,0,1.02711,0.137882
0.01,0.04468,0.00468693,1.16,0,1.06869,0.0430584
0.006,0.0942,0.0177814,1.22,0,1.04034,0.116169
0.008,0.03,0.00127958,1.16,0,1.08455,0.0752566
0.14,0.13888,0.05473,1.26,0,1.04534,0.0661868
0.04,0.11328,0.025482,1.24,0,1.02906,0.0986681
0.14,0.08752,0.0210615,1.14,0,1.05198,0.0599958
0.082,0.10004,0.0215571,1.22,0,1.14414,0.137093
0.016,0.1196,0.0269674,1.38,0,1.02947,0.0231996
0.018,0.09972,0.0191299,1.26,0,1.07692,0.115048
0.014,0.07836,0.0173904,1.08,0,1.02568,0.0591651
0.12,0.1708,0.0499319,1.44,0,1.09664,0.0580838
0.102,0.06444,0.0106566,1.18,0,1.10335,0.0142012
0.058,0.04692,0.00707054,1.06,0,1.0923,0.0453279
0.188,0.07816,0.0133536,1.24,0,1.0353,-0.0432133
0.03,0.04972,0.0063676,1.04,0,1.14202,0.038588
0.1,0.0388,0.00619658,1.2,0,1.08981,0.244202
0.088,0.07184,0.00867949,1.14,0,1.00581,-0.0375447
0.116,0.11624,0.0362487,1.38,0,1.19119,0.0122329
0.16,0.12688,0.0360275,1.36,0,1.06117,0.0428037
0.016,0.17896,0.0505225,1.58,0,0.961494,0.18103
0.034,0.08508,0.015098,1.24,0,1.05072,0.029216
0.054,0.12972,0.0271748,1.38,0,1.00186,0.0905876
0.112,0.05256,0.0117013,1.04,0,1.13511,0.0107788
0.108,0.12608,0.0309515,1.22,0,1.04359,0.0555886
0.03,0.08404,0.0146656,1.26,0,1.09061,0.0247479
0.09,0.0874,0.0240052,1.26,0,1.10861,0.07348
0.202,0.11828,0.0326677,1.18,0,1.01857,0.0126274
0.068,0.0976,0.0302332,1.12,0,1.05228,0.0451012
0.138,0.09684,0.019294,1.36,0,1.0912,0.128609
0.092,0.11432,0.0394629,1.42,0,1.13015,0.125834
0.074,0.08372,0.0257557,1.08,0,0.943846,0.13393
5.55112e-18,0.03552,0.0023113,0.98,0,1.10273,0.0423819
0.08,0.13224,0.0376845,1.52,0,1.03464,0.169899
0.114,0.11364,0.0465273,1.28,0,1.11479,0.152893
0.018,0.11284,0.0436568,1.46,0,1.01404,0.194025
0.092,0.14328,0.0377481,1.36,0,0.920601,0.038857
0.01,0.10436,0.0330387,1.16,0,1.00321,0.0655976
0.204,0.14536,0.0278749,1.46,0,0.969769,0.0380282
0.21,0.08612,0.0177201,1.16,0,1.00372,3.9278e-05
0.088,0.09192,0.0192548,1.24,0,1.02772,0.0629183
0.044,0.0324,0.00201917,1.14,0,1.0537,0.105963
0.03,0.06788,0.00929826,1.24,0,1.12521,0.000259911
0.078,0.06068,0.012861,1.04,0,1.09565,0.0108193
0.048,0.11552,0.0339236,1.36,0,1.03251,-0.0652019
0.082,0.045,0.00351854,1.2,0,1.03981,0.0798126
0.05,0.02436,0.00106478,1.04,0,1.21207,0.130302
0.012,0.08048,0.0152052,1.12,0,0.974195,0.107473
0.104,0.08184,0.0196279,1.16,0,0.935603,0.0912029
0.14,0.1096,0.0192815,1.3,0,1.04004,0.0652367
0.03,0.09884,0.0212018,1.3,0,1.04949,0.0438529
0.02,0.06064,0.00613254,1.18,0,1.0044,0.0483081
0.05,0.06052,0.00509781,1.28,0,1.17346,0.08814
0.05,0.05116,0.00455838,1.3,0,1.11587,0.240385
0.114,0.05628,0.00592958,1.1,0,1.03934,0.00987437
0.034,0.171,0.0585055,1.46,0,1.00154,0.140164
0.01,0.07732,0.0216789,1.2,0,1.10342,0.0579886
0.016,0.0724,0.0125441,1.24,0,1.05037,0.0369548
0.04,0.08496,0.0136295,1.16,0,1.08375,0.0977915
0.048,0.0756,0.0110508,1.28,0,1.10195,-0.0391735
0.114,0.09564,0.0171648,1.12,0,0.978258,0.0413765
0.162,0.11124,0.0248805,1.26,0,1.04638,0.177854
0.014,0.10564,0.0207159,1.16,0,1.03859,0.0284755
0.188,0.09008,0.0153903,1.2,0,0.981646,0.0388794
0.1,0.10704,0.0153084,1.3,0,1.04176,0.0671496
