temperature,result
10,0.471533
10.01,0.447335
10.02,0.424815
10.03,0.439982
10.04,0.439313
10.05,0.428807
10.06,0.364156
10.07,0.383477
10.08,0.369528
10.09,0.364021
10.1,0.403526
10.11,0.371294
10.12,0.314938
10.13,0.342636
10.14,0.289825
10.15,0.330783
10.16,0.309588
10.17,0.275846
10.18,0.287029
10.19,0.256705
10.2,0.260093
10.21,0.239656
10.22,0.275891
10.23,0.209771
10.24,0.231812
10.25,0.173385
10.26,0.181867
10.27,0.208961
10.28,0.203924
10.29,0.213519
10.3,0.180638
10.31,0.173947
10.32,0.180543
10.33,0.201322
10.34,0.152805
10.35,0.191527
10.36,0.149833
10.37,0.139862
10.38,0.133808
10.39,0.15411
10.4,0.125351
10.41,0.14792
10.42,0.153052
10.43,0.12315
10.44,0.140535
10.45,0.110834
10.46,0.121981
10.47,0.11739
10.48,0.137313
10.49,0.117998
10.5,0.112439
10.51,0.109046
10.52,0.100795
10.53,0.111711
10.54,0.10434
10.55,0.0780954
10.56,0.0786907
10.57,0.0856984
10.58,0.0753989
10.59,0.0778674
10.6,0.061231
10.61,0.0604469
10.62,0.0742284
10.63,0.0628891
10.64,0.0712935
10.65,0.0631233
10.66,0.0659546
10.67,0.0697998
10.68,0.0602336
10.69,0.0614326
10.7,0.0616893
10.71,0.0674578
10.72,0.0563195
10.73,0.0474703
10.74,0.0446069
10.75,0.0626754
10.76,0.0518102
10.77,0.0468053
10.78,0.0494672
10.79,0.051874
10.8,0.04047
10.81,0.0552651
10.82,0.0374691
10.83,0.0438286
10.84,0.0438052
10.85,0.0385076
10.86,0.0341867
10.87,0.0436829
10.88,0.0352252
10.89,0.0392613
10.9,0.0327278
10.91,0.0354707
10.92,0.0408132
10.93,0.0325375
10.94,0.0369502
10.95,0.0264294
10.96,0.0358511
10.97,0.0287907
10.98,0.0264981
10.99,0.0278217
11,0.0296567
