temperature,result
10.5,0.628386
10.51,0.626074
10.52,0.61952
10.53,0.611784
10.54,0.607718
10.55,0.598608
10.56,0.586061
10.57,0.585217
10.58,0.577814
10.59,0.571995
10.6,0.564405
10.61,0.558512
10.62,0.552132
10.63,0.549637
10.64,0.532769
10.65,0.535482
10.66,0.531146
10.67,0.521181
10.68,0.515238
10.69,0.509845
10.7,0.49989
10.71,0.492598
10.72,0.487075
10.73,0.484577
10.74,0.479755
10.75,0.47457
10.76,0.463094
10.77,0.455773
10.78,0.451412
10.79,0.45168
10.8,0.441136
10.81,0.441094
10.82,0.436567
10.83,0.431682
10.84,0.422206
10.85,0.417816
10.86,0.416041
10.87,0.406109
10.88,0.401683
10.89,0.398371
10.9,0.391242
10.91,0.385926
10.92,0.384908
10.93,0.377843
10.94,0.373482
10.95,0.373205
10.96,0.370071
10.97,0.367469
10.98,0.355695
10.99,0.354514
11,0.352279
11.01,0.342384
11.02,0.342574
11.03,0.340413
11.04,0.332986
11.05,0.328848
11.06,0.322652
11.07,0.323086
11.08,0.316111
11.09,0.316235
11.1,0.312996
11.11,0.308601
11.12,0.303341
11.13,0.301657
11.14,0.297137
11.15,0.296445
11.16,0.290273
11.17,0.288907
11.18,0.283626
11.19,0.281849
11.2,0.279509
11.21,0.277061
11.22,0.275097
11.23,0.272118
11.24,0.266684
11.25,0.264439
11.26,0.260163
11.27,0.258487
11.28,0.257235
11.29,0.253556
11.3,0.250284
11.31,0.249017
11.32,0.244569
11.33,0.244584
11.34,0.241504
11.35,0.239292
11.36,0.237351
11.37,0.233502
11.38,0.231602
11.39,0.228498
11.4,0.228688
11.41,0.222792
11.42,0.218151
11.43,0.220228
11.44,0.216787
11.45,0.216078
11.46,0.215351
11.47,0.214558
11.48,0.210151
11.49,0.20806
11.5,0.204491
11.51,0.203866
11.52,0.200889
11.53,0.199881
11.54,0.198881
11.55,0.197192
11.56,0.195087
11.57,0.193486
11.58,0.191793
11.59,0.189762
11.6,0.186368
11.61,0.185064
11.62,0.18537
11.63,0.18258
11.64,0.181736
11.65,0.180689
11.66,0.178484
11.67,0.177574
11.68,0.176251
11.69,0.172515
11.7,0.172642
11.71,0.171488
11.72,0.172289
11.73,0.169926
11.74,0.168347
11.75,0.167258
11.76,0.164862
11.77,0.162218
11.78,0.16275
11.79,0.162338
11.8,0.159938
11.81,0.16006
11.82,0.157398
11.83,0.156613
11.84,0.155239
11.85,0.155682
11.86,0.152209
11.87,0.15158
11.88,0.151162
11.89,0.150221
11.9,0.148303
11.91,0.147735
11.92,0.147371
11.93,0.144085
11.94,0.144109
11.95,0.143014
11.96,0.142688
11.97,0.141295
11.98,0.141606
11.99,0.13882
12,0.137018
