temperature,result
8,0.650506
8.01,0.649776
8.02,0.649932
8.03,0.649121
8.04,0.64884
8.05,0.648682
8.06,0.648406
8.07,0.64788
8.08,0.64733
8.09,0.64705
8.1,0.646873
8.11,0.646459
8.12,0.645701
8.13,0.645401
8.14,0.644919
8.15,0.644366
8.16,0.644459
8.17,0.643984
8.18,0.642845
8.19,0.642765
8.2,0.642551
8.21,0.641895
8.22,0.640899
8.23,0.640753
8.24,0.640288
8.25,0.639088
8.26,0.63923
8.27,0.638739
8.28,0.638296
8.29,0.637319
8.3,0.636674
8.31,0.63617
8.32,0.635268
8.33,0.634872
8.34,0.634248
8.35,0.633586
8.36,0.632852
8.37,0.632158
8.38,0.631494
8.39,0.630934
8.4,0.629358
8.41,0.628899
8.42,0.628343
8.43,0.62793
8.44,0.626669
8.45,0.626324
8.46,0.624546
8.47,0.624168
8.48,0.623213
8.49,0.621986
8.5,0.621096
8.51,0.620333
8.52,0.619694
8.53,0.618615
8.54,0.618344
8.55,0.616408
8.56,0.615468
8.57,0.61425
8.58,0.614209
8.59,0.611498
8.6,0.61124
8.61,0.609793
8.62,0.609981
8.63,0.607482
8.64,0.606516
8.65,0.605745
8.66,0.604365
8.67,0.602806
8.68,0.602016
8.69,0.600595
8.7,0.598473
8.71,0.597199
8.72,0.597401
8.73,0.595209
8.74,0.593072
8.75,0.592419
8.76,0.591189
8.77,0.590251
8.78,0.588479
8.79,0.586906
8.8,0.584623
8.81,0.584612
8.82,0.581684
8.83,0.581129
8.84,0.580565
8.85,0.57664
8.86,0.575816
8.87,0.573428
8.88,0.573333
8.89,0.570525
8.9,0.568844
8.91,0.566385
8.92,0.565558
8.93,0.563861
8.94,0.560656
8.95,0.559662
8.96,0.558101
8.97,0.557018
8.98,0.555352
8.99,0.553507
9,0.550131
