temperature,result
0.8,0.663344
0.81,0.662482
0.82,0.66222
0.83,0.66203
0.84,0.662093
0.85,0.660693
0.86,0.661354
0.87,0.660126
0.88,0.65885
0.89,0.65866
0.9,0.657884
0.91,0.657124
0.92,0.657009
0.93,0.656777
0.94,0.655285
0.95,0.653817
0.96,0.651772
0.97,0.652264
0.98,0.652581
0.99,0.650422
1,0.649526
1.01,0.648897
1.02,0.647179
1.03,0.646126
1.04,0.644931
1.05,0.642597
1.06,0.640706
1.07,0.640472
1.08,0.637536
1.09,0.637347
1.1,0.634573
1.11,0.632742
1.12,0.63184
1.13,0.627901
1.14,0.629263
1.15,0.626021
1.16,0.622956
1.17,0.621729
1.18,0.619462
1.19,0.617338
1.2,0.614814
1.21,0.61169
1.22,0.60966
1.23,0.605737
1.24,0.604467
1.25,0.602944
1.26,0.599859
1.27,0.597406
1.28,0.593975
1.29,0.591761
1.3,0.586492
1.31,0.586158
1.32,0.581664
1.33,0.580192
1.34,0.575171
1.35,0.573868
1.36,0.567318
1.37,0.565978
1.38,0.561646
1.39,0.55757
1.4,0.553326
1.41,0.551724
1.42,0.546438
1.43,0.54109
1.44,0.538013
1.45,0.532446
1.46,0.52988
1.47,0.52475
1.48,0.520705
1.49,0.516159
1.5,0.509597
1.51,0.505223
1.52,0.501847
1.53,0.495404
1.54,0.4893
1.55,0.483414
1.56,0.478389
1.57,0.474068
1.58,0.469033
1.59,0.461592
1.6,0.453026
