temperature,result
0.8,0.152698
0.81,0.147728
0.82,0.144319
0.83,0.141557
0.84,0.143772
0.85,0.13544
0.86,0.123062
0.87,0.117409
0.88,0.111609
0.89,0.106801
0.9,0.10041
0.91,0.0996805
0.92,0.0903902
0.93,0.0864945
0.94,0.0926258
0.95,0.0836869
0.96,0.0867389
0.97,0.0741676
0.98,0.0781811
0.99,0.076355
1,0.0712203
1.01,0.0656604
1.02,0.0687075
1.03,0.0657463
1.04,0.0658888
1.05,0.0621505
1.06,0.0589705
1.07,0.0544244
1.08,0.0472743
1.09,0.047004
1.1,0.0508807
1.11,0.0451617
1.12,0.0465102
1.13,0.0501797
1.14,0.0428368
1.15,0.0455847
1.16,0.0448322
1.17,0.0398302
1.18,0.0403335
1.19,0.0350685
1.2,0.038686
1.21,0.0382305
1.22,0.0353545
1.23,0.034212
1.24,0.0312946
1.25,0.0334796
1.26,0.0293185
1.27,0.0315804
1.28,0.028512
1.29,0.0298161
1.3,0.0278702
1.31,0.0271963
1.32,0.0278671
1.33,0.025268
1.34,0.0222948
1.35,0.0255735
1.36,0.0245622
1.37,0.0219963
1.38,0.0220659
1.39,0.0230094
1.4,0.020332
1.41,0.0207559
1.42,0.019917
1.43,0.0213085
1.44,0.019462
1.45,0.018103
1.46,0.0176483
1.47,0.0180166
1.48,0.0171175
1.49,0.0188543
1.5,0.0163191
1.51,0.0153019
1.52,0.0152537
1.53,0.0152544
1.54,0.0153433
1.55,0.0151796
1.56,0.015209
1.57,0.0147969
1.58,0.0151205
1.59,0.0129288
1.6,0.0128938
