temperature,result
1.2,0.998283
1.21,1.07651
1.22,1.30878
1.23,0.845559
1.24,0.853042
1.25,0.81968
1.26,0.743105
1.27,0.89354
1.28,0.745761
1.29,0.932994
1.3,0.87655
1.31,0.728652
1.32,0.796675
1.33,0.769061
1.34,0.701569
1.35,0.759979
1.36,0.648362
1.37,0.603011
1.38,0.737856
1.39,0.628172
1.4,0.620639
1.41,0.596518
1.42,0.608474
1.43,0.529795
1.44,0.581209
1.45,0.624859
1.46,0.525599
1.47,0.483598
1.48,0.48864
1.49,0.551417
1.5,0.47805
1.51,0.463007
1.52,0.452015
1.53,0.448959
1.54,0.477219
1.55,0.423243
1.56,0.417579
1.57,0.391255
1.58,0.392524
1.59,0.386147
1.6,0.361111
1.61,0.371268
1.62,0.38812
1.63,0.325795
1.64,0.392412
1.65,0.323175
1.66,0.325182
1.67,0.306304
1.68,0.321405
1.69,0.300855
1.7,0.296321
1.71,0.293395
1.72,0.273857
1.73,0.27576
1.74,0.279563
1.75,0.267414
1.76,0.247259
1.77,0.246783
1.78,0.227925
1.79,0.235079
1.8,0.238301
1.81,0.235997
1.82,0.221502
1.83,0.243823
1.84,0.22432
1.85,0.220672
1.86,0.204654
1.87,0.200127
1.88,0.207968
1.89,0.191318
1.9,0.19498
1.91,0.181766
1.92,0.178452
1.93,0.180836
1.94,0.193463
1.95,0.186731
1.96,0.183662
1.97,0.178333
1.98,0.180142
1.99,0.178813
2,0.174911
2.01,0.184554
2.02,0.167181
2.03,0.18674
2.04,0.173742
2.05,0.188823
2.06,0.17529
2.07,0.21757
2.08,0.190889
2.09,0.218795
2.1,0.256642
2.11,0.250106
2.12,0.235428
2.13,0.287991
2.14,0.344002
2.15,0.380074
2.16,1.59628e-15
2.17,7.92195e-16
2.18,9.96531e-16
2.19,6.72966e-17
2.2,2.89699e-16
