temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1.8,0.954882,0.912772,0.836519,1,0,1,0
1.81,0.954688,0.912376,0.835737,1,0,1,0
1.82,0.954368,0.91178,0.834638,1,0,1,0
1.83,0.953347,0.909783,0.830898,1,0,1,0
1.84,0.950799,0.905144,0.823147,1,0,1,0
1.85,0.946965,0.898041,0.810846,1,0,1,0
1.86,0.946771,0.897636,0.810005,1,0,1,0
1.87,0.944167,0.892801,0.80165,1,0,1,0
1.88,0.942542,0.889814,0.7965,1,0,1,0
1.89,0.93925,0.883673,0.785779,1,0,1,0
1.9,0.939306,0.883783,0.786041,1,0,1,0
1.91,0.936938,0.879343,0.778211,1,0,1,0
1.92,0.932722,0.871969,0.766615,1,0,1,0
1.93,0.93091,0.868653,0.761124,1,0,1,0
1.94,0.927569,0.862646,0.751298,1,0,1,0
1.95,0.927729,0.862598,0.750304,1,0,1,0
1.96,0.925188,0.858213,0.743637,1,0,1,0
1.97,0.91975,0.849145,0.729894,1,0,1,0
1.98,0.919229,0.847467,0.725884,1,0,1,0
1.99,0.913035,0.836742,0.70951,1,0,1,0
2,0.911924,0.834665,0.705785,1,0,1,0
2.01,0.907528,0.827394,0.695374,1,0,1,0
2.02,0.906354,0.825056,0.69113,1,0,1,0
2.03,0.89859,0.811646,0.670528,1,0,1,0
2.04,0.895681,0.80672,0.663271,1,0,1,0
2.05,0.607028,0.802069,0.658111,1,0,1,0
2.06,0.887153,0.792924,0.643243,1,0,1,0
2.07,0.890618,0.797679,0.648693,1,0,1,0
2.08,0.746146,0.774468,0.618343,1,0,1,0
2.09,0.876201,0.774215,0.61567,1,0,1,0
2.1,0.330812,0.76286,0.600864,1,0,1,0
2.11,0.791222,0.740607,0.576013,1,0,1,0
2.12,0.197806,0.743321,0.575611,1,0,1,0
2.13,0.349083,0.736548,0.564814,1,0,1,0
2.14,0.782875,0.726712,0.551317,1,0,1,0
2.15,0.0823681,0.7066,0.526581,1,0,1,0
2.16,0.515028,0.697614,0.516073,1,0,1,0
2.17,0.0657569,0.699418,0.517266,1,0,1,0
2.18,0.598597,0.684906,0.499238,1,0,1,0
2.19,0.274854,0.657911,0.473407,1,0,1,0
2.2,0.484389,0.647602,0.457089,1,0,1,0
2.21,0.0152361,0.638783,0.446333,1,0,1,0
2.22,0.0395417,0.639161,0.445178,1,0,1,0
2.23,0.03675,0.624184,0.427205,1,0,1,0
2.24,0.02375,0.590074,0.398692,1,0,1,0
2.25,0.511243,0.582786,0.388431,1,0,1,0
2.26,0.0548472,0.568745,0.37532,1,0,1,0
2.27,0.404715,0.553964,0.357984,1,0,1,0
2.28,0.0614167,0.538726,0.344066,1,0,1,0
2.29,0.183597,0.51992,0.326003,1,0,1,0
2.3,0.0768056,0.499661,0.306948,1,0,1,0
2.31,0.0164792,0.498918,0.304078,1,0,1,0
2.32,0.350403,0.457685,0.270151,1,0,1,0
2.33,0.0802222,0.437192,0.248415,1,0,1,0
2.34,0.0133264,0.4189,0.236045,1,0,1,0
2.35,0.100549,0.421126,0.236375,1,0,1,0
2.36,0.00448611,0.401857,0.216574,1,0,1,0
2.37,0.215007,0.38444,0.206538,1,0,1,0
2.38,0.0217361,0.376166,0.200413,1,0,1,0
2.39,0.0726875,0.347563,0.178769,1,0,1,0
2.4,0.0203542,0.35376,0.18086,1,0,1,0
2.41,0.00484028,0.33631,0.168619,1,0,1,0
2.42,0.0525556,0.300633,0.141066,1,0,1,0
2.43,0.0949931,0.287212,0.132549,1,0,1,0
2.44,0.0657708,0.289622,0.132518,1,0,1,0
2.45,0.0540069,0.271913,0.121376,1,0,1,0
2.46,0.0788264,0.266557,0.117118,1,0,1,0
2.47,0.0612917,0.25807,0.111239,1,0,1,0
2.48,0.0426806,0.249056,0.103524,1,0,1,0
2.49,0.0607431,0.225919,0.0924,1,0,1,0
2.5,0.0349514,0.218779,0.0869075,1,0,1,0
2.51,0.00860417,0.221071,0.0879828,1,0,1,0
2.52,0.0117986,0.191295,0.0681238,1,0,1,0
2.53,0.000180556,0.194818,0.0737181,1,0,1,0
2.54,0.0337014,0.157447,0.0523806,1,0,1,0
2.55,0.01,0.180306,0.0628949,1,0,1,0
2.56,0.0202222,0.174537,0.0599674,29827.2,0,-29173.4,0
2.57,0.0239653,0.160925,0.0526491,59653.3,0,-18029.8,-2.06961e-12
2.58,0.00110417,0.143887,0.0442402,357915,0,-299685,-4.65661e-12
2.59,0.00947222,0.144401,0.0458636,387741,0,-261945,2.06961e-12
2.6,0.00881944,0.154741,0.0487742,59653.3,0,-29825.2,0
