temperature,result
1,0.665043
1.01,0.664961
1.02,0.664777
1.03,0.664813
1.04,0.664591
1.05,0.664545
1.06,0.664534
1.07,0.664402
1.08,0.664174
1.09,0.664148
1.1,0.663778
1.11,0.663674
1.12,0.663699
1.13,0.663557
1.14,0.663188
1.15,0.662959
1.16,0.662958
1.17,0.662771
1.18,0.66263
1.19,0.662392
1.2,0.662356
1.21,0.661766
1.22,0.661654
1.23,0.661389
1.24,0.661277
1.25,0.660663
1.26,0.660617
1.27,0.660345
1.28,0.660107
1.29,0.65969
1.3,0.658878
1.31,0.659251
1.32,0.658421
1.33,0.658087
1.34,0.658297
1.35,0.657243
1.36,0.657029
1.37,0.655979
1.38,0.656006
1.39,0.655139
1.4,0.654201
1.41,0.654703
1.42,0.653699
1.43,0.653015
1.44,0.652856
1.45,0.651837
1.46,0.650909
1.47,0.650872
1.48,0.649379
1.49,0.649828
1.5,0.64863
1.51,0.647053
1.52,0.646268
1.53,0.644986
1.54,0.64478
1.55,0.643765
1.56,0.64216
1.57,0.641122
1.58,0.639998
1.59,0.638213
1.6,0.637661
1.61,0.636052
1.62,0.634666
1.63,0.633956
1.64,0.631404
1.65,0.629616
1.66,0.62916
1.67,0.628159
1.68,0.624732
1.69,0.623552
1.7,0.621421
1.71,0.620063
1.72,0.61638
1.73,0.613899
1.74,0.612131
1.75,0.610356
1.76,0.607303
1.77,0.605289
1.78,0.601961
1.79,0.600871
1.8,0.597829
1.81,0.593753
1.82,0.589543
1.83,0.589134
1.84,0.582533
1.85,0.580359
1.86,0.577791
1.87,0.574486
1.88,0.569891
1.89,0.567854
1.9,0.558949
1.91,0.559503
1.92,0.553123
1.93,0.552908
1.94,0.545691
1.95,0.54218
1.96,0.53557
1.97,0.530386
1.98,0.524545
1.99,0.519481
2,0.514239
2.01,0.510006
2.02,0.506276
2.03,0.502693
2.04,0.493796
2.05,0.48665
2.06,0.484509
2.07,0.477339
2.08,0.471024
2.09,0.463139
2.1,0.463682
2.11,0.456094
2.12,0.449794
2.13,0.444529
2.14,0.436762
2.15,0.431268
2.16,0.425688
2.17,0.425834
2.18,0.413935
2.19,0.411516
2.2,0.405342
2.21,0.394587
2.22,0.394139
2.23,0.382426
2.24,0.384242
2.25,0.370449
2.26,0.370662
2.27,0.364478
2.28,0.352791
2.29,0.358915
2.3,0.343631
2.31,0.338305
2.32,0.337009
2.33,0.330816
2.34,0.320524
2.35,0.322241
2.36,0.314464
2.37,0.308635
2.38,0.296409
2.39,0.306865
2.4,0.297248
2.41,0.288381
2.42,0.285679
2.43,0.288783
2.44,0.278708
2.45,0.273267
2.46,0.272977
2.47,0.254454
2.48,0.253205
2.49,0.251913
2.5,0.246258
2.51,0.249815
2.52,0.246711
2.53,0.233367
2.54,0.239288
2.55,0.211511
2.56,0.225438
2.57,0.226398
2.58,0.20953
2.59,0.208296
2.6,0.21011
2.61,0.213928
2.62,0.206854
2.63,0.194536
2.64,0.190114
2.65,0.187548
2.66,0.191813
2.67,0.193727
2.68,0.185066
2.69,0.180692
2.7,0.18631
2.71,0.181775
2.72,0.170431
2.73,0.159122
2.74,0.177235
2.75,0.171087
2.76,0.166334
2.77,0.166412
2.78,0.155665
2.79,0.15095
2.8,0.151659
2.81,0.149312
2.82,0.153622
2.83,0.147943
2.84,0.150104
2.85,0.144526
2.86,0.160175
2.87,0.144654
2.88,0.143635
2.89,0.142168
2.9,0.138469
2.91,0.141581
2.92,0.127821
2.93,0.12977
2.94,0.118273
2.95,0.118966
2.96,0.1252
2.97,0.125594
2.98,0.115422
2.99,0.105933
3,0.111097
3.01,0.126455
3.02,0.111436
3.03,0.123555
3.04,0.111119
3.05,0.0968735
3.06,0.112797
3.07,0.116647
3.08,0.111132
3.09,0.0939606
3.1,0.0957673
3.11,0.0945255
3.12,0.102729
3.13,0.0927719
3.14,0.0880509
3.15,0.100355
3.16,0.103679
3.17,0.0894503
3.18,0.0880738
3.19,0.0879986
3.2,0.105233
3.21,0.111019
3.22,0.10497
3.23,0.0951004
3.24,0.0926676
3.25,0.0827093
3.26,0.0951715
3.27,0.0758065
3.28,0.0935568
3.29,0.0814258
3.3,0.0784682
3.31,0.0899249
3.32,0.0689021
3.33,0.0824768
3.34,0.0725482
3.35,0.0876216
3.36,0.081381
3.37,0.0743377
3.38,0.0729522
3.39,0.0657765
