temperature,result
1,0.976526
1.01,0.97567
1.02,0.974509
1.03,0.973679
1.04,0.972924
1.05,0.971524
1.06,0.970656
1.07,0.969754
1.08,0.968131
1.09,0.966694
1.1,0.966133
1.11,0.964555
1.12,0.963554
1.13,0.961978
1.14,0.960729
1.15,0.95954
1.16,0.957899
1.17,0.956619
1.18,0.955882
1.19,0.95425
1.2,0.952709
1.21,0.951415
1.22,0.949678
1.23,0.948678
1.24,0.946045
1.25,0.944321
1.26,0.942679
1.27,0.940821
1.28,0.940353
1.29,0.937826
1.3,0.936325
1.31,0.934107
1.32,0.930909
1.33,0.92905
1.34,0.921789
1.35,0.925515
1.36,0.924199
1.37,0.91631
1.38,0.918409
1.39,0.901087
1.4,0.905617
1.41,0.911132
1.42,0.897217
1.43,0.899274
1.44,0.903829
1.45,0.882833
1.46,0.865659
1.47,0.877672
1.48,0.863067
1.49,0.848151
1.5,0.86604
1.51,0.844902
1.52,0.841251
1.53,0.834254
1.54,0.836071
1.55,0.815651
1.56,0.810489
1.57,0.798507
1.58,0.768105
1.59,0.748358
1.6,0.757279
1.61,0.746366
1.62,0.74985
1.63,0.722551
1.64,0.673791
1.65,0.684896
1.66,0.623632
1.67,0.59494
1.68,0.589843
1.69,0.611255
1.7,0.537121
1.71,0.584455
1.72,0.531819
1.73,0.511396
1.74,0.494349
1.75,0.45299
1.76,0.400821
1.77,0.38233
1.78,0.376383
1.79,0.354755
1.8,0.364801
1.81,0.302001
1.82,0.318311
1.83,0.319
1.84,0.268155
1.85,0.299303
1.86,0.274315
1.87,0.245963
1.88,0.208807
1.89,0.204459
1.9,0.18216
1.91,0.215689
1.92,0.177755
1.93,0.186311
1.94,0.192019
1.95,0.177159
1.96,0.160715
1.97,0.17222
1.98,0.161769
1.99,0.147897
2,0.132923
2.01,0.136356
2.02,0.116354
2.03,0.111529
2.04,0.107702
2.05,0.114074
2.06,0.105182
2.07,0.094645
2.08,0.10272
2.09,0.0856012
2.1,0.0981663
2.11,0.0853763
2.12,0.070675
2.13,0.0769587
2.14,0.0793562
2.15,0.0739075
2.16,0.0666475
2.17,0.0759413
2.18,0.0673112
2.19,0.0596937
2.2,0.063615
2.21,0.0596038
2.22,0.0565975
2.23,0.0629625
2.24,0.0540263
2.25,0.0519762
2.26,0.0624075
2.27,0.0507938
2.28,0.0502938
2.29,0.049995
2.3,0.051975
2.31,0.049165
2.32,0.0449425
2.33,0.0384975
2.34,0.0431288
2.35,0.04626
2.36,0.0409262
2.37,0.0402575
2.38,0.0379512
2.39,0.0367488
2.4,0.0329075
2.41,0.0357112
2.42,0.0364525
2.43,0.0335388
2.44,0.0355363
2.45,0.0321313
2.46,0.0382463
2.47,0.0312688
2.48,0.0284087
2.49,0.03211
2.5,0.0282425
2.51,0.02852
2.52,0.02991
2.53,0.0271288
2.54,0.0294312
2.55,0.0269375
2.56,0.0271
2.57,0.0276325
2.58,0.02752
2.59,0.0236687
2.6,0.024885
2.61,0.0240663
2.62,0.024235
2.63,0.02129
2.64,0.0209575
2.65,0.0220213
2.66,0.022135
2.67,0.0227575
2.68,0.0216863
2.69,0.016925
2.7,0.0204687
2.71,0.0203312
2.72,0.0181025
2.73,0.0208762
2.74,0.0198525
2.75,0.017715
2.76,0.0202825
2.77,0.0194788
2.78,0.0221925
2.79,0.01811
2.8,0.0175288
2.81,0.017655
2.82,0.0189437
2.83,0.0191525
2.84,0.0175838
2.85,0.016825
2.86,0.01845
2.87,0.0143875
2.88,0.0176763
2.89,0.01749
2.9,0.01799
2.91,0.0163575
2.92,0.0169212
2.93,0.01725
2.94,0.0170888
2.95,0.017355
2.96,0.0171325
2.97,0.0154912
2.98,0.015635
2.99,0.015705
3,0.0144288
3.01,0.0160912
3.02,0.0160962
3.03,0.0149938
3.04,0.0154313
3.05,0.0164112
3.06,0.0164262
3.07,0.015475
3.08,0.0145963
3.09,0.0165613
3.1,0.0155763
3.11,0.017485
3.12,0.0168262
3.13,0.0159813
3.14,0.01434
3.15,0.012195
3.16,0.0140325
3.17,0.0143163
3.18,0.0156788
3.19,0.01643
3.2,0.01308
3.21,0.012755
3.22,0.0139338
3.23,0.0151288
3.24,0.0126375
3.25,0.0121613
3.26,0.0145863
3.27,0.014005
3.28,0.0155887
3.29,0.013845
3.3,0.0145638
3.31,0.01523
3.32,0.0138888
3.33,0.0145187
3.34,0.0139825
3.35,0.0114275
3.36,0.0133313
3.37,0.0132325
3.38,0.011095
3.39,0.0150387
