temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.99975,0.999505,0.99903,96.06,0,0.06,-3.28626e-16
1.01,0.99925,0.998545,0.997257,88.54,0,0.317082,1.09246e-15
1.02,0.99925,0.998515,0.997089,90.3,0,0.220902,9.76996e-17
1.03,0.99975,0.999505,0.99903,96.06,0,0.0461803,-4.44089e-17
1.04,0.998875,0.997777,0.995662,82.92,0,0.16,1.68754e-16
1.05,0.999,0.99802,0.996118,84.72,0,0.0976393,-8.9706e-16
1.06,0.998875,0.997772,0.995633,84.72,0,0.10382,-5.77316e-16
1.07,0.999375,0.998762,0.997574,90.3,0,0.0961803,1.68754e-16
1.08,0.999125,0.998272,0.996632,86.58,0,0.204721,-7.19425e-16
1.09,0.999,0.998035,0.996204,84.78,0,0.160557,3.08198e-15
1.1,0.99825,0.99654,0.993236,74.12,0,0.222361,4.17444e-16
1.11,0.999375,0.998762,0.997574,90.3,0,0.101459,3.4639e-16
1.12,0.997375,0.994812,0.989868,62.66,0,0.375836,-2.88658e-15
1.13,0.998,0.996045,0.992266,74.12,0,0.202361,3.4639e-16
1.14,0.998125,0.996292,0.992751,72.42,0,0.171459,-4.70735e-16
1.15,0.99775,0.99558,0.991463,70.8,0,0.25382,-9.68114e-16
1.16,0.997375,0.994817,0.989897,65.84,0,0.542705,-1.15463e-16
1.17,0.99825,0.99655,0.993294,74.16,0,0.277639,2.90434e-15
1.18,0.995625,0.991452,0.983657,48.1,0,0.882705,1.2701e-15
1.19,0.998,0.99605,0.992294,70.76,0,0.18382,-1.78524e-15
1.2,0.997375,0.994807,0.98984,62.64,0,0.228197,3.4639e-16
1.21,0.997125,0.994312,0.988869,62.62,0,0.545623,2.65565e-15
1.22,0.99775,0.99555,0.991295,67.44,0,0.362361,-2.63789e-15
1.23,0.996,0.992105,0.984618,53.6,0,0.508197,-8.61533e-16
1.24,0.995375,0.990872,0.982221,46.64,0,0.747426,4.17444e-16
1.25,0.996875,0.993822,0.987928,59.56,0,0.447082,9.14824e-16
1.26,0.996125,0.992372,0.985214,53.66,0,0.37459,-3.9968e-16
1.27,0.996125,0.992367,0.985187,58.06,0,0.27,9.76996e-17
1.28,0.9955,0.99112,0.982706,49.36,0,0.691803,1.30562e-15
1.29,0.996375,0.992847,0.986073,55.08,0,0.427082,7.72715e-16
1.3,0.99625,0.99259,0.98553,53.6,0,0.545623,-2.95319e-16
1.31,0.99525,0.99064,0.981821,43.96,0,0.48382,-3.64153e-16
1.32,0.99375,0.987665,0.975969,37.64,0,0.415147,2.75335e-16
1.33,0.994,0.988165,0.976969,38.86,0,1.02451,3.22409e-15
1.34,0.993375,0.987012,0.97501,35.4,0,0.552361,6.30607e-16
1.35,0.992875,0.985992,0.972913,29.78,0,0.627295,3.44169e-16
1.36,0.9915,0.98332,0.967858,23.78,0,0.69618,-1.5099e-16
1.37,0.993,0.986205,0.973202,35.36,0,0.557295,3.10862e-17
1.38,0.991,0.982315,0.965836,26.64,0,0.750213,-1.55431e-15
1.39,0.991,0.98233,0.965917,26.56,0,0.940344,4.37428e-16
1.4,0.992125,0.984512,0.970027,31.84,0,0.614721,1.66089e-15
1.41,0.99125,0.98282,0.966857,26.68,0,0.857082,1.68754e-16
1.42,0.99175,0.983795,0.968709,29.76,0,1.48721,-6.66134e-16
1.43,0.992625,0.985507,0.971994,30.86,0,0.555279,-3.26406e-16
