temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,1,1,1,25,0,-5.68434e-16,1.33227e-16
1.1,0.998,0.99616,0.99291,23.08,0,0.08,1.68754e-16
1.2,0.998,0.99616,0.99291,23.08,0,0.08,2.39808e-16
1.3,1,1,1,25,0,-5.68434e-16,1.33227e-16
1.4,0.988,0.9776,0.960713,17.8,0,0.165836,-8.88178e-18
1.5,0.988,0.97728,0.959086,14.76,0,0.602229,6.21725e-17
1.6,0.13,0.92416,0.88527,4.44,0,2.35554,6.21725e-17
1.7,0.97,0.94336,0.898258,7.24,0,1.01889,2.66454e-17
1.8,0.96,0.92864,0.88082,5.56,0,0.849443,2.66454e-17
1.9,0.936,0.8848,0.809241,4.04,0,1.45305,8.88178e-18
2,0.174,0.8704,0.787163,2.92,0,0.70695,-2.66454e-17
2.1,0.8,0.88576,0.803284,3.96,0,0.815279,-8.88178e-18
2.2,0.548,0.72544,0.615957,1,0,1,0
2.3,0.406,0.63136,0.50268,1.08,0,1.08,0
2.4,0.344,0.60448,0.472611,1,0,1,0
2.5,0.172,0.60352,0.467263,1,0,1,0
