temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.999556,0.999115,0.998246,221.027,0,0.0168486,8.37296e-14
1.1,0.998222,0.996472,0.993053,209.347,0,0.0483231,-1.15976e-14
1.2,0.997778,0.995575,0.991229,205.489,0,0.0592812,7.18438e-16
1.3,0.995333,0.990724,0.981674,186.893,0,0.104543,3.49745e-15
1.4,0.992667,0.985458,0.971404,164.12,0,0.334697,-6.29225e-15
1.5,0.984667,0.969722,0.940955,118.724,0,0.46145,-3.74219e-15
1.6,0.976889,0.954706,0.912938,85.7822,0,0.894837,-6.23205e-15
1.7,0.974,0.948958,0.901575,79.5956,0,0.527179,1.54198e-15
1.8,0.959111,0.920545,0.849788,48.5022,0,0.98407,2.41585e-15
1.9,0.945111,0.894056,0.802201,25.9511,0,0.886137,4.1251e-15
2,0.925556,0.858339,0.742282,10.68,0,1.24062,-3.26406e-15
2.1,0.847778,0.741092,0.582139,1.72,0,1.19368,1.67767e-17
2.2,0.806667,0.669661,0.487062,1.13333,0,1.10657,-4.93432e-19
2.3,0.783778,0.624415,0.412151,1.10667,0,1.04918,-1.4803e-18
2.4,0.08,0.34319,0.17824,2.72015e+08,0,-6.52904e+07,1.09275e-08
2.5,0.0311111,0.170003,0.0572008,3.2155e+09,0,-1.52282e+08,5.09951e-09
