temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.998,0.99606,0.992352,94.12,0,0.04,4.17444e-16
1.1,0.9985,0.99703,0.994178,94.12,0,0.04,-8.26006e-16
1.2,0.995,0.99012,0.980707,84.74,0,0.11382,6.21725e-17
1.3,0.9955,0.99109,0.982533,82.9,0,0.091459,-3.9968e-16
1.4,0.9925,0.98519,0.971119,74.12,0,0.17,9.76996e-17
1.5,0.9865,0.97355,0.949161,61.2,0,0.304721,-4.35207e-16
1.6,0.9725,0.94675,0.899888,32.44,0,0.665623,-3.10862e-16
1.7,0.968,0.93844,0.885522,29.2,0,0.689656,1.87628e-16
1.8,0.959,0.92126,0.854333,20.28,0,0.821115,6.12843e-16
1.9,0.929,0.86842,0.769023,7.2,0,1.20889,4.44089e-18
2,0.9115,0.83591,0.714567,3.54,0,1.66687,1.11022e-17
2.1,0.841,0.7206,0.552903,1.1,0,1.03854,0
2.2,0.8545,0.74249,0.583454,1.18,0,1.01618,2.22045e-18
2.3,0.7785,0.64149,0.474418,1.04,0,1.03236,0
2.4,0.0385,0.40889,0.25155,4.29497e+07,0,-6.9494e+06,4.47035e-10
2.5,0.234,0.38304,0.224198,5.36871e+07,0,-1.45624e+07,5.96046e-10
