temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.999,0.99802,0.996118,96.06,0,0.0561803,-3.28626e-16
1.1,0.9995,0.99901,0.998059,98.02,0,0.02,3.81917e-16
1.2,0.9975,0.99505,0.990296,90.3,0,0.180902,5.24025e-16
1.3,0.998,0.99604,0.992237,92.2,0,0.184721,1.37668e-15
1.4,0.993,0.9862,0.973175,75.84,0,0.359443,-9.68114e-16
1.5,0.993,0.9862,0.973175,74.16,0,0.21,3.10862e-16
1.6,0.9825,0.96595,0.935366,44.5,0,0.543475,7.70495e-16
1.7,0.9765,0.95413,0.912526,42.82,0,0.637984,4.52971e-16
1.8,0.958,0.91926,0.850293,17.22,0,1.48305,2.77556e-17
1.9,0.939,0.88414,0.789696,10.82,0,1.21743,1.68754e-16
2,0.912,0.84132,0.731091,4.56,0,1.49923,1.77636e-17
2.1,0.8835,0.78495,0.629382,1.74,0,1.0109,0
2.2,0.5295,0.68561,0.510933,1.02,0,1.02,0
2.3,0.755,0.60254,0.422435,1.04,0,0.96,0
2.4,0.331,0.46742,0.297778,2.14748e+06,0,-663608,0
2.5,0.111,0.3215,0.178615,1.43881e+08,0,-6.64893e+07,-1.93715e-09
