temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.998,0.99616,0.99291,19.48,0,0.135279,6.21725e-17
1.1,0.9995,0.99904,0.998227,23.08,0,0.08,-1.5099e-16
1.2,0.9985,0.99712,0.994682,19.48,0,0.369443,1.33227e-16
1.3,0.994,0.98856,0.979136,10.6,0,0.718622,2.66454e-17
1.4,0.991,0.98296,0.969315,7.32,0,0.809443,-7.99361e-17
1.5,0.9885,0.97808,0.960045,4.6,0,1.59193,1.33227e-16
1.6,0.984,0.96984,0.946058,2.92,0,0.864721,-8.88178e-18
1.7,0.97,0.94624,0.910175,1.24,0,1.12944,0
1.8,0.963,0.93152,0.881185,1.08,0,1.02472,0
1.9,0.836,0.8996,0.834459,1,0,1,0
2,0.3645,0.8804,0.809638,1,0,1,0
2.1,0.303,0.7984,0.694078,1,0,1,0
2.2,0.354,0.75552,0.652995,1,0,1,0
2.3,0.109,0.68648,0.552782,1,0,1,0
2.4,0.097,0.62864,0.49562,1,0,1,0
2.5,0.024,0.6028,0.466668,1,0,1,0
