temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.9995,0.99901,0.998059,98.02,0,0.02,9.76996e-17
1.1,0.9985,0.99709,0.994519,94.18,0,0.0476393,-4.70735e-16
1.2,0.9975,0.99505,0.990296,90.3,0,0.06,-5.06262e-16
1.3,0.9965,0.99309,0.98653,86.58,0,0.146738,-2.57572e-16
1.4,0.9925,0.98531,0.971801,72.56,0,0.27,-1.86517e-16
1.5,0.99,0.98036,0.962101,64.36,0,0.38618,1.30562e-15
1.6,0.9855,0.97149,0.94486,53.76,0,0.272016,1.68754e-16
1.7,0.9745,0.95065,0.907279,37.98,0,0.548541,-1.18128e-15
1.8,0.9595,0.92227,0.856257,19.6,0,1.34777,-6.21725e-17
1.9,0.929,0.86822,0.76915,4.7,0,1.42215,1.33227e-17
2,0.9125,0.83909,0.722898,3.4,0,1.23271,-6.66134e-18
2.1,0.8995,0.81661,0.688446,2.32,0,1.1018,-4.44089e-18
2.2,0.7975,0.67935,0.531907,1.16,0,1.11708,0
2.3,0.6715,0.62501,0.437531,1,0,1,0
2.4,0.101,0.50184,0.330022,2.14748e+06,0,-663608,0
2.5,0.071,0.33364,0.164704,1.54619e+08,0,-7.84941e+07,-7.97212e-09
