temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,0.9985,0.99703,0.994178,94.12,0,0.098541,-4.44089e-17
1.1,0.996,0.99214,0.984815,84.78,0,0.102016,4.17444e-16
1.2,0.998,0.99604,0.992237,92.2,0,0.134721,-7.99361e-17
1.3,0.9955,0.99117,0.982989,82.98,0,0.0961803,1.33227e-16
1.4,0.9875,0.97547,0.952739,61.2,0,0.36382,1.4122e-15
1.5,0.9835,0.96765,0.937775,52.26,0,0.495623,2.66454e-17
1.6,0.9715,0.94613,0.90245,31.62,0,1.03069,9.85878e-16
1.7,0.983,0.96668,0.935958,44.24,0,0.469443,9.76996e-17
1.8,0.9655,0.93355,0.875998,29.96,0,0.902705,-7.43849e-17
1.9,0.927,0.86338,0.758004,7.86,0,0.832918,-4.32987e-17
2,0.9115,0.84043,0.732109,4.22,0,1.77013,3.21965e-17
2.1,0.1905,0.73071,0.592261,1.26,0,1.13562,0
2.2,0.4185,0.65741,0.479963,1.04,0,1.03618,0
2.3,0.148,0.52108,0.323627,2.14748e+06,0,1.73735e+06,0
2.4,0.3485,0.45989,0.270753,1,0,1,0
2.5,0.0945,0.35039,0.195079,8.16044e+07,0,-9.4102e+06,-1.19209e-09
