temperature,avg_mag,avg_mag2,avg_mag4,chi0_re,chi0_im,chiq_re,chiq_im
1,1,1,1,25,0,-5.68434e-16,1.33227e-16
1.1,0.998,0.99616,0.99291,21.24,0,0.0952786,-7.99361e-17
1.2,0.994,0.98896,0.981035,14.92,0,0.93305,-7.99361e-17
1.3,0.996,0.99232,0.98582,19.48,0,0.224721,-7.99361e-17
1.4,0.992,0.98512,0.97408,13.4,0,1.21305,-2.66454e-17
1.5,0.988,0.97728,0.959086,7.4,0,0.710557,-1.5099e-16
1.6,0.976,0.95456,0.918172,6.36,0,0.704721,-2.66454e-17
1.7,0.958,0.92384,0.871797,1.48,0,1.25889,8.88178e-18
1.8,0.974,0.95088,0.91176,2.76,0,0.76,8.88178e-18
1.9,0.954,0.91616,0.856916,1.32,0,0.975279,0
2,0.796,0.892,0.818806,1,0,1,0
2.1,0.483,0.79472,0.681528,1,0,1,0
2.2,0.261,0.77296,0.658828,1,0,1,0
2.3,0.05,0.8064,0.713086,1,0,1,0
2.4,0.472,0.6288,0.492784,1,0,1,0
2.5,0.168,0.61248,0.478859,1,0,1,0
